(-0.3321064142854534+0j),-0.3321064142854534j,0.9432419252718036j,(-0.9432419252718036+0j)
(-0.021405537186782623+0j),-0.021405537186782623j,0.9997708752397949j,(-0.9997708752397949+0j)
(-0.577659847304861+0j),0.577659847304861j,-0.8162775880861394j,(-0.8162775880861394+0j)
(-0.7209731702067032+0j),0.7209731702067032j,-0.6929629772521013j,(-0.6929629772521013+0j)
(-0.2176774091970398+0j),-0.2176774091970398j,0.976020771052166j,(-0.976020771052166+0j)
(-0.19927714991106654+0j),0.19927714991106654j,-0.979943170558029j,(-0.979943170558029+0j)
(-0.9462339277093406+0j),0.9462339277093406j,-0.3234831588379134j,(-0.3234831588379134+0j)
(-0.995029866670842+0j),0.995029866670842j,-0.09957692721211385j,(-0.09957692721211385+0j)
(-0.35873249777172783+0j),0.35873249777172783j,-0.9334404078688996j,(-0.9334404078688996+0j)
(-0.48506063701494934+0j),0.48506063701494934j,-0.8744805191761859j,(-0.8744805191761859+0j)
(-0.7182747788623333+0j),0.7182747788623333j,-0.6957595432692723j,(-0.6957595432692723+0j)
(-0.7960387315727737+0j),0.7960387315727737j,-0.605245683864007j,(-0.605245683864007+0j)
(-0.4088722646124549+0j),0.4088722646124549j,-0.9125916234716833j,(-0.9125916234716833+0j)
(-0.5651767673015062+0j),0.5651767673015062j,-0.8249698307832957j,(-0.8249698307832957+0j)
(-0.9807855506884501+0j),0.9807855506884501j,-0.1950889631956505j,(-0.1950889631956505+0j)
(-0.9728048187463996+0j),-0.9728048187463996j,0.23162639017129483j,(-0.23162639017129483+0j)
