(-0.9082544522941292+0j),0.9082544522941292j,-0.41841827145559907j,(-0.41841827145559907+0j)
(-0.9317321845386475+0j),0.9317321845386475j,-0.3631461638167751j,(-0.3631461638167751+0j)
(-0.9943398820111453+0j),0.9943398820111453j,-0.10624593659082575j,(-0.10624593659082575+0j)
(-0.9883224196482248+0j),0.9883224196482248j,-0.15237714664830335j,(-0.15237714664830335+0j)
(-0.8835165671769601+0j),0.8835165671769601j,-0.46839990982475693j,(-0.46839990982475693+0j)
(-0.8649721470049376+0j),0.8649721470049376j,-0.5018198729680488j,(-0.5018198729680488+0j)
(-0.8243910602577729+0j),0.8243910602577729j,-0.5660206531276621j,(-0.5660206531276621+0j)
(-0.8289706375546004+0j),0.8289706375546004j,-0.5592921258808489j,(-0.5592921258808489+0j)
