(-0.6390228203677951+0j),0.6390228203677951j,-0.7691877761958966j,(-0.7691877761958966+0j)
(-0.6390231153506557+0j),0.6390231153506557j,-0.7691875311310907j,(-0.7691875311310907+0j)
(-0.6390323882640271+0j),0.6390323882640271j,-0.7691798273158064j,(-0.7691798273158064+0j)
(-0.6390329142927407+0j),0.6390329142927407j,-0.7691793902923603j,(-0.7691793902923603+0j)
(-0.639406999410758+0j),0.639406999410758j,-0.7688684472031161j,(-0.7688684472031161+0j)
(-0.6394080562659549+0j),0.6394080562659549j,-0.7688675682991145j,(-0.7688675682991145+0j)
(-0.639421173786566+0j),0.639421173786566j,-0.7688566592762336j,(-0.7688566592762336+0j)
(-0.6394214715693186+0j),0.6394214715693186j,-0.7688564116245159j,(-0.7688564116245159+0j)
(-0.6538396190342075+0j),0.6538396190342075j,-0.7566331690992686j,(-0.7566331690992686+0j)
(-0.6538406522698006+0j),0.6538406522698006j,-0.7566322762342366j,(-0.7566322762342366+0j)
(-0.6538719288720786+0j),0.6538719288720786j,-0.7566052475585321j,(-0.7566052475585321+0j)
(-0.6538736359158931+0j),0.6538736359158931j,-0.7566037722970526j,(-0.7566037722970526+0j)
(-0.6543689548413392+0j),0.6543689548413392j,-0.7561754233905341j,(-0.7561754233905341+0j)
(-0.6543695260152667+0j),0.6543695260152667j,-0.7561749291153174j,(-0.7561749291153174+0j)
(-0.6543764600203824+0j),0.6543764600203824j,-0.756168928594129j,(-0.756168928594129+0j)
(-0.6543766141678252+0j),0.6543766141678252j,-0.7561687951973776j,(-0.7561687951973776+0j)
(-0.890341577476899+0j),0.890341577476899j,-0.455293175235416j,(-0.455293175235416+0j)
(-0.8903417401686242+0j),0.8903417401686242j,-0.45529285708597095j,(-0.45529285708597095+0j)
(-0.8903468493777442+0j),0.8903468493777442j,-0.45528286570342663j,(-0.45528286570342663+0j)
(-0.8903471389155826+0j),0.8903471389155826j,-0.4552822994855348j,(-0.4552822994855348+0j)
(-0.8905453423859562+0j),0.8905453423859562j,-0.4548944857378248j,(-0.4548944857378248+0j)
(-0.8905458813739315+0j),0.8905458813739315j,-0.4548934305614091j,(-0.4548934305614091+0j)
(-0.8905525617538353+0j),0.8905525617538353j,-0.4548803521297459j,(-0.4548803521297459+0j)
(-0.8905527132032824+0j),0.8905527132032824j,-0.4548800556259556j,(-0.4548800556259556+0j)
(-0.8935611420578312+0j),0.8935611420578312j,-0.4489415166859762j,(-0.4489415166859762+0j)
(-0.893561230521189+0j),0.893561230521189j,-0.4489413406108407j,(-0.4489413406108407+0j)
(-0.8935639048226481+0j),0.8935639048226481j,-0.44893601771087754j,(-0.44893601771087754+0j)
(-0.8935640505866467+0j),0.8935640505866467j,-0.4489357275815604j,(-0.4489357275815604+0j)
(-0.8936055045508408+0j),0.8936055045508408j,-0.4488532078936695j,(-0.4488532078936695+0j)
(-0.893605551404717+0j),0.893605551404717j,-0.4488531146139816j,(-0.4488531146139816+0j)
(-0.8936061200362051+0j),0.8936061200362051j,-0.4488519825441784j,(-0.4488519825441784+0j)
(-0.8936061326736687+0j),0.8936061326736687j,-0.44885195738462563j,(-0.44885195738462563+0j)
