(-0.6390228541472359+0j),0.6390228541472359j,-0.7691877481327433j,(-0.7691877481327433+0j)
(-0.6390228543346879+0j),0.6390228543346879j,-0.7691877479770128j,(-0.7691877479770128+0j)
(-0.6390228602274264+0j),0.6390228602274264j,-0.7691877430814659j,(-0.7691877430814659+0j)
(-0.6390228605617128+0j),0.6390228605617128j,-0.7691877428037487j,(-0.7691877428037487+0j)
(-0.6390230984604551+0j),0.6390230984604551j,-0.7691875451630762j,(-0.7691875451630762+0j)
(-0.6390230991330451+0j),0.6390230991330451j,-0.7691875446043043j,(-0.7691875446043043+0j)
(-0.6390231074813515+0j),0.6390231074813515j,-0.7691875376687256j,(-0.7691875376687256+0j)
(-0.6390231076708724+0j),0.6390231076708724j,-0.769187537511276j,(-0.769187537511276+0j)
(-0.6390325479586939+0j),0.6390325479586939j,-0.7691796946419085j,(-0.7691796946419085+0j)
(-0.639032548654838+0j),0.639032548654838j,-0.7691796940635537j,(-0.7691796940635537+0j)
(-0.6390325697288826+0j),0.6390325697288826j,-0.7691796765552903j,(-0.7691796765552903+0j)
(-0.6390325708791585+0j),0.6390325708791585j,-0.7691796755996437j,(-0.7691796755996437+0j)
(-0.6390329049825246+0j),0.6390329049825246j,-0.7691793980272714j,(-0.7691793980272714+0j)
(-0.6390329053681822+0j),0.6390329053681822j,-0.7691793977068678j,(-0.7691793977068678+0j)
(-0.6390329100501065+0j),0.6390329100501065j,-0.7691793938171333j,(-0.7691793938171333+0j)
(-0.6390329101541902+0j),0.6390329101541902j,-0.7691793937306607j,(-0.7691793937306607+0j)
(-0.6394071254713616+0j),0.6394071254713616j,-0.7688683423684777j,(-0.7688683423684777+0j)
(-0.6394071261671225+0j),0.6394071261671225j,-0.7688683417898682j,(-0.7688683417898682+0j)
(-0.6394071480179003+0j),0.6394071480179003j,-0.7688683236183j,(-0.7688683236183+0j)
(-0.639407149256234+0j),0.639407149256234j,-0.7688683225884756j,(-0.7688683225884756+0j)
(-0.6394079983330819+0j),0.6394079983330819j,-0.7688676164774282j,(-0.7688676164774282+0j)
(-0.6394080006457815+0j),0.6394080006457815j,-0.7688676145541341j,(-0.7688676145541341+0j)
(-0.639408029311771+0j),0.639408029311771j,-0.7688675907148367j,(-0.7688675907148367+0j)
(-0.6394080299616877+0j),0.6394080299616877j,-0.7688675901743509j,(-0.7688675901743509+0j)
(-0.6394212662627968+0j),0.6394212662627968j,-0.7688565823681823j,(-0.7688565823681823+0j)
(-0.6394212666618726+0j),0.6394212666618726j,-0.7688565820362903j,(-0.7688565820362903+0j)
(-0.6394212787264585+0j),0.6394212787264585j,-0.7688565720027506j,(-0.7688565720027506+0j)
(-0.6394212793840599+0j),0.6394212793840599j,-0.7688565714558551j,(-0.7688565714558551+0j)
(-0.6394214664656417+0j),0.6394214664656417j,-0.7688564158690024j,(-0.7688564158690024+0j)
(-0.6394214666771671+0j),0.6394214666771671j,-0.7688564156930866j,(-0.7688564156930866+0j)
(-0.6394214692443116+0j),0.6394214692443116j,-0.7688564135581141j,(-0.7688564135581141+0j)
(-0.6394214693013651+0j),0.6394214693013651j,-0.7688564135106655j,(-0.7688564135106655+0j)
(-0.6538397374776407+0j),0.6538397374776407j,-0.7566330667471323j,(-0.7566330667471323+0j)
(-0.6538397381348279+0j),0.6538397381348279j,-0.7566330661792279j,(-0.7566330661792279+0j)
(-0.6538397587936599+0j),0.6538397587936599j,-0.7566330483270267j,(-0.7566330483270267+0j)
(-0.6538397599655753+0j),0.6538397599655753j,-0.7566330473143233j,(-0.7566330473143233+0j)
(-0.6538405931746429+0j),0.6538405931746429j,-0.7566323273010687j,(-0.7566323273010687+0j)
(-0.6538405955280424+0j),0.6538405955280424j,-0.7566323252673884j,(-0.7566323252673884+0j)
(-0.6538406247378052+0j),0.6538406247378052j,-0.7566323000258954j,(-0.7566323000258954+0j)
(-0.6538406254008949+0j),0.6538406254008949j,-0.7566322994528895j,(-0.7566322994528895+0j)
(-0.6538724478405764+0j),0.6538724478405764j,-0.756604799056266j,(-0.756604799056266+0j)
(-0.6538724501014697+0j),0.6538724501014697j,-0.7566047971023586j,(-0.7566047971023586+0j)
(-0.6538725185386621+0j),0.6538725185386621j,-0.7566047379576123j,(-0.7566047379576123+0j)
(-0.6538725222738205+0j),0.6538725222738205j,-0.7566047347296156j,(-0.7566047347296156+0j)
(-0.6538736057631584+0j),0.6538736057631584j,-0.7566037983557086j,(-0.7566037983557086+0j)
(-0.65387360701222+0j),0.65387360701222j,-0.7566037972762422j,(-0.7566037972762422+0j)
(-0.6538736221756621+0j),0.6538736221756621j,-0.7566037841716624j,(-0.7566037841716624+0j)
(-0.6538736225127538+0j),0.6538736225127538j,-0.7566037838803402j,(-0.7566037838803402+0j)
(-0.6543690230705697+0j),0.6543690230705697j,-0.7561753643472315j,(-0.7561753643472315+0j)
(-0.6543690234470692+0j),0.6543690234470692j,-0.7561753640214216j,(-0.7561753640214216+0j)
(-0.6543690352708272+0j),0.6543690352708272j,-0.7561753537895339j,(-0.7561753537895339+0j)
(-0.6543690359408824+0j),0.6543690359408824j,-0.7561753532096908j,(-0.7561753532096908+0j)
(-0.6543694947549815+0j),0.6543694947549815j,-0.7561749561669643j,(-0.7561749561669643+0j)
(-0.654369496003012+0j),0.654369496003012j,-0.7561749550869588j,(-0.7561749550869588+0j)
(-0.6543695114716361+0j),0.6543695114716361j,-0.7561749417009086j,(-0.7561749417009086+0j)
(-0.6543695118223251+0j),0.6543695118223251j,-0.7561749413974335j,(-0.7561749413974335+0j)
(-0.654376507905954+0j),0.654376507905954j,-0.7561688871547209j,(-0.7561688871547209+0j)
(-0.6543765081125721+0j),0.6543765081125721j,-0.7561688869759169j,(-0.7561688869759169+0j)
(-0.6543765143587774+0j),0.6543765143587774j,-0.7561688815705502j,(-0.7561688815705502+0j)
(-0.6543765146992311+0j),0.6543765146992311j,-0.7561688812759271j,(-0.7561688812759271+0j)
(-0.6543766115270978+0j),0.6543766115270978j,-0.7561687974826216j,(-0.7561687974826216+0j)
(-0.6543766116365458+0j),0.6543766116365458j,-0.7561687973879069j,(-0.7561687973879069+0j)
(-0.6543766129648332+0j),0.6543766129648332j,-0.7561687962384279j,(-0.7561687962384279+0j)
(-0.6543766129943535+0j),0.6543766129943535j,-0.7561687962128814j,(-0.7561687962128814+0j)
(-0.8903415961077595+0j),0.8903415961077595j,-0.455293138802121j,(-0.455293138802121+0j)
(-0.8903415962111471+0j),0.8903415962111471j,-0.4552931385999428j,(-0.4552931385999428+0j)
(-0.8903415994612406+0j),0.8903415994612406j,-0.45529313224427204j,(-0.45529313224427204+0j)
(-0.8903415996456132+0j),0.8903415996456132j,-0.4552931318837246j,(-0.4552931318837246+0j)
(-0.8903417308534506+0j),0.8903417308534506j,-0.4552928753021311j,(-0.4552928753021311+0j)
(-0.8903417312243936+0j),0.8903417312243936j,-0.4552928745767386j,(-0.4552928745767386+0j)
(-0.8903417358286008+0j),0.8903417358286008j,-0.4552928655730444j,(-0.4552928655730444+0j)
(-0.8903417359331242+0j),0.8903417359331242j,-0.45529286536864516j,(-0.45529286536864516+0j)
(-0.8903469372805608+0j),0.8903469372805608j,-0.4552826938014724j,(-0.4552826938014724+0j)
(-0.8903469376637422+0j),0.8903469376637422j,-0.4552826930521262j,(-0.4552826930521262+0j)
(-0.8903469492635838+0j),0.8903469492635838j,-0.4552826703675743j,(-0.4552826703675743+0j)
(-0.890346949896732+0j),0.890346949896732j,-0.4552826691293954j,(-0.4552826691293954+0j)
(-0.8903471337913085+0j),0.8903471337913085j,-0.4552823095065325j,(-0.4552823095065325+0j)
(-0.8903471340035718+0j),0.8903471340035718j,-0.4552823090914316j,(-0.4552823090914316+0j)
(-0.8903471365804694+0j),0.8903471365804694j,-0.45528230405206765j,(-0.45528230405206765+0j)
(-0.8903471366377562+0j),0.8903471366377562j,-0.45528230394003766j,(-0.45528230394003766+0j)
(-0.8905454066818634+0j),0.8905454066818634j,-0.45489435986593024j,(-0.45489435986593024+0j)
(-0.8905454070367246+0j),0.8905454070367246j,-0.4548943591712195j,(-0.4548943591712195+0j)
(-0.8905454181813218+0j),0.8905454181813218j,-0.45489433735347234j,(-0.45489433735347234+0j)
(-0.8905454188129104+0j),0.8905454188129104j,-0.4548943361170134j,(-0.4548943361170134+0j)
(-0.8905458518315609+0j),0.8905458518315609j,-0.45489348839656923j,(-0.45489348839656923+0j)
(-0.8905458530109087+0j),0.8905458530109087j,-0.45489348608775776j,(-0.45489348608775776+0j)
(-0.8905458676289196+0j),0.8905458676289196j,-0.4548934574700486j,(-0.4548934574700486+0j)
(-0.8905458679603391+0j),0.8905458679603391j,-0.4548934568212283j,(-0.4548934568212283+0j)
(-0.8905526087873206+0j),0.8905526087873206j,-0.4548802600488372j,(-0.4548802600488372+0j)
(-0.8905526089902889+0j),0.8905526089902889j,-0.45488025965147105j,(-0.45488025965147105+0j)
(-0.8905526151262827+0j),0.8905526151262827j,-0.45488024763858387j,(-0.45488024763858387+0j)
(-0.8905526154607352+0j),0.8905526154607352j,-0.45488024698380136j,(-0.45488024698380136+0j)
(-0.890552710607677+0j),0.890552710607677j,-0.4548800607075661j,(-0.4548800607075661+0j)
(-0.8905527107152539+0j),0.8905527107152539j,-0.4548800604969551j,(-0.4548800604969551+0j)
(-0.8905527120208412+0j),0.8905527120208412j,-0.45488005794090947j,(-0.45488005794090947+0j)
