(-0.9433642757186309+0j),0.9433642757186309j,-0.33175871246715316j,(-0.33175871246715316+0j)
(-0.9433541348102826+0j),0.9433541348102826j,-0.3317875469880432j,(-0.3317875469880432+0j)
(-0.9431824829114409+0j),0.9431824829114409j,-0.33227519306895253j,(-0.33227519306895253+0j)
(-0.9432260225525999+0j),0.9432260225525999j,-0.33215157741549656j,(-0.33215157741549656+0j)
(-0.9434809197029985+0j),0.9434809197029985j,-0.3314268458595115j,(-0.3314268458595115+0j)
(-0.9434901076661959+0j),0.9434901076661959j,-0.33140068910011344j,(-0.33140068910011344+0j)
(-0.94347600309319+0j),0.94347600309319j,-0.33144084176108835j,(-0.33144084176108835+0j)
(-0.9434820183477922+0j),0.9434820183477922j,-0.3314237183038904j,(-0.3314237183038904+0j)
(-0.9423921823169893+0j),0.9423921823169893j,-0.3345100517291263j,(-0.3345100517291263+0j)
(-0.942439968592169+0j),0.942439968592169j,-0.33437539622405194j,(-0.33437539622405194+0j)
(-0.9424729494317567+0j),0.9424729494317567j,-0.33428242488860427j,(-0.33428242488860427+0j)
(-0.9424845478190118+0j),0.9424845478190118j,-0.33424972269605974j,(-0.33424972269605974+0j)
(-0.9421360604151343+0j),0.9421360604151343j,-0.335230731982392j,(-0.335230731982392+0j)
(-0.9421285980297431+0j),0.9421285980297431j,-0.335251703611646j,(-0.335251703611646+0j)
(-0.9420112166664463+0j),0.9420112166664463j,-0.33558138755688144j,(-0.33558138755688144+0j)
(-0.9420353788220288+0j),0.9420353788220288j,-0.3355135541936224j,(-0.3355135541936224+0j)
(-0.9445228494252605+0j),0.9445228494252605j,-0.3284457137999926j,(-0.3284457137999926+0j)
(-0.9445325762492378+0j),0.9445325762492378j,-0.3284177406961716j,(-0.3284177406961716+0j)
(-0.94452904234684+0j),0.94452904234684j,-0.32842790405713346j,(-0.32842790405713346+0j)
(-0.9445336870653034+0j),0.9445336870653034j,-0.3284145459610818j,(-0.3284145459610818+0j)
(-0.9444552632206941+0j),0.9444552632206941j,-0.3286400093943674j,(-0.3286400093943674+0j)
(-0.9444527268996659+0j),0.9444527268996659j,-0.32864729825724276j,(-0.32864729825724276+0j)
(-0.9444070024127905+0j),0.9444070024127905j,-0.32877866991897065j,(-0.32877866991897065+0j)
(-0.9444170727564387+0j),0.9444170727564387j,-0.3287497417278984j,(-0.3287497417278984+0j)
(-0.944553258284198+0j),0.944553258284198j,-0.32835825292613746j,(-0.32835825292613746+0j)
(-0.9445568936821209+0j),0.9445568936821209j,-0.3283477951769781j,(-0.3283477951769781+0j)
(-0.9445508043421288+0j),0.9445508043421288j,-0.32836531183521434j,(-0.32836531183521434+0j)
