(-0.5259556956208106+0j),-0.5259556956208106j,0.8505119671374586j,(-0.8505119671374586+0j)
(-0.12826310795100201+0j),-0.12826310795100201j,0.991740175216649j,(-0.991740175216649+0j)
(-0.7062636841886025+0j),0.7062636841886025j,-0.7079488741401755j,(-0.7079488741401755+0j)
(-0.743090344504936+0j),0.743090344504936j,-0.6691911086554689j,(-0.6691911086554689+0j)
(-0.879922633165399+0j),0.879922633165399j,-0.4751169957423865j,(-0.4751169957423865+0j)
(-0.9303711419388365+0j),0.9303711419388365j,-0.36661906421710466j,(-0.36661906421710466+0j)
(-0.9743097250739274+0j),0.9743097250739274j,-0.2252122546096637j,(-0.2252122546096637+0j)
(-0.9764252260933906+0j),0.9764252260933906j,-0.21585591918794167j,(-0.21585591918794167+0j)
(-0.36098212799826995+0j),-0.36098212799826995j,0.9325727334990235j,(-0.9325727334990235+0j)
(-0.11590772732482028+0j),0.11590772732482028j,-0.9932599854753011j,(-0.9932599854753011+0j)
(-0.9975203393526642+0j),0.9975203393526642j,-0.07037877931412145j,(-0.07037877931412145+0j)
(-0.999895004148892+0j),0.999895004148892j,-0.014490710061530302j,(-0.014490710061530302+0j)
(-0.9802325822098532+0j),-0.9802325822098532j,0.19784864107242078j,(-0.19784864107242078+0j)
(-0.9582947255707798+0j),-0.9582947255707798j,0.28578176803852273j,(-0.28578176803852273+0j)
(-0.9243743140663946+0j),-0.9243743140663946j,0.38148673305146885j,(-0.38148673305146885+0j)
(-0.9219701180159392+0j),-0.9219701180159392j,0.38726102500209786j,(-0.38726102500209786+0j)
(-0.5218433356671619+0j),0.5218433356671619j,-0.8530413430894014j,(-0.8530413430894014+0j)
(-0.583673572231072+0j),0.583673572231072j,-0.8119883995963364j,(-0.8119883995963364+0j)
(-0.7711470883818927+0j),0.7711470883818927j,-0.6366570254698596j,(-0.6366570254698596+0j)
(-0.7928520706809324+0j),0.7928520706809324j,-0.6094141399877081j,(-0.6094141399877081+0j)
(-0.9308328702073227+0j),0.9308328702073227j,-0.3654451637956064j,(-0.3654451637956064+0j)
(-0.9991007998380491+0j),0.9991007998380491j,-0.04239801602635172j,(-0.04239801602635172+0j)
(-0.7498829746482552+0j),-0.7498829746482552j,0.6615704983844762j,(-0.6615704983844762+0j)
(-0.7123348387666268+0j),-0.7123348387666268j,0.7018397804907641j,(-0.7018397804907641+0j)
(-0.5497060712840817+0j),0.5497060712840817j,-0.8353581478584023j,(-0.8353581478584023+0j)
(-0.6191725090661458+0j),0.6191725090661458j,-0.7852549929906424j,(-0.7852549929906424+0j)
(-0.15710135609953937+0j),-0.15710135609953937j,0.9875824846116327j,(-0.9875824846116327+0j)
(-0.01966679741625659+0j),-0.01966679741625659j,0.9998065898359483j,(-0.9998065898359483+0j)
(-0.2580749279151759+0j),0.2580749279151759j,-0.9661249047517494j,(-0.9661249047517494+0j)
(-0.31860699687120464+0j),0.31860699687120464j,-0.9478869033511923j,(-0.9478869033511923+0j)
(-0.3684419970771871+0j),0.3684419970771871j,-0.9296507380676756j,(-0.9296507380676756+0j)
(-0.37106719837043206+0j),0.37106719837043206j,-0.9286060167226564j,(-0.9286060167226564+0j)
(-0.8706026068749215+0j),0.8706026068749215j,-0.49198689098652937j,(-0.49198689098652937+0j)
(-0.9001655397536552+0j),0.9001655397536552j,-0.43554793196617353j,(-0.43554793196617353+0j)
(-0.942916393226826+0j),0.942916393226826j,-0.3330295413084457j,(-0.3330295413084457+0j)
(-0.9458810458757384+0j),0.9458810458757384j,-0.3245135544981432j,(-0.3245135544981432+0j)
