(-0.9495039891598163+0j),0.9495039891598163j,-0.3137549594342622j,(-0.3137549594342622+0j)
(-0.942414694306191+0j),0.942414694306191j,-0.33444662347790105j,(-0.33444662347790105+0j)
(-0.9167775038900953+0j),0.9167775038900953j,-0.3993983079095936j,(-0.3993983079095936+0j)
(-0.9207543710629065+0j),0.9207543710629065j,-0.3901427792085251j,(-0.3901427792085251+0j)
(-0.9566456986622609+0j),0.9566456986622609j,-0.29125419693284205j,(-0.29125419693284205+0j)
(-0.9618714995074801+0j),0.9618714995074801j,-0.27350177044259116j,(-0.27350177044259116+0j)
(-0.9730403112616389+0j),0.9730403112616389j,-0.23063510717116062j,(-0.23063510717116062+0j)
(-0.9717988418664328+0j),0.9717988418664328j,-0.235811388501616j,(-0.235811388501616+0j)
(-0.8959456733585006+0j),0.8959456733585006j,-0.4441636527116816j,(-0.4441636527116816+0j)
(-0.9004622764161221+0j),0.9004622764161221j,-0.43493412001301496j,(-0.43493412001301496+0j)
(-0.9219269053864353+0j),0.9219269053864353j,-0.3873638872231004j,(-0.3873638872231004+0j)
(-0.9179047763063681+0j),0.9179047763063681j,-0.3968007329050143j,(-0.3968007329050143+0j)
(-0.8918049616558428+0j),0.8918049616558428j,-0.45242005964150284j,(-0.45242005964150284+0j)
(-0.8889848402150948+0j),0.8889848402150948j,-0.4579366264754793j,(-0.4579366264754793+0j)
(-0.8833895344337321+0j),0.8833895344337321j,-0.4686394461128449j,(-0.4686394461128449+0j)
(-0.8839896587342038+0j),0.8839896587342038j,-0.4675064526303205j,(-0.4675064526303205+0j)
(-0.9805296010821534+0j),0.9805296010821534j,-0.19637133548884708j,(-0.19637133548884708+0j)
(-0.9841035857425524+0j),0.9841035857425524j,-0.17759541809588145j,(-0.17759541809588145+0j)
(-0.9925568233249253+0j),0.9925568233249253j,-0.1217823980349104j,(-0.1217823980349104+0j)
(-0.9915836916958959+0j),0.9915836916958959j,-0.12946730229188613j,(-0.12946730229188613+0j)
