(-0.9769959021470063+0j),-0.9769959021470063j,0.21325807648939743j,(-0.21325807648939743+0j)
(-0.9148385104907172+0j),-0.9148385104907172j,0.4038198852497559j,(-0.4038198852497559+0j)
(-0.10871514796145526+0j),-0.10871514796145526j,0.9940729433013048j,(-0.9940729433013048+0j)
(-0.011730388675890388+0j),0.011730388675890388j,-0.999931196623804j,(-0.999931196623804+0j)
(-0.5251200825962298+0j),0.5251200825962298j,-0.8510281422221764j,(-0.8510281422221764+0j)
(-0.7031310909898109+0j),0.7031310909898109j,-0.7110602427948551j,(-0.7110602427948551+0j)
(-0.8420970641573705+0j),0.8420970641573705j,-0.5393260002424671j,(-0.5393260002424671+0j)
(-0.8486580838239901+0j),0.8486580838239901j,-0.5289418273876564j,(-0.5289418273876564+0j)
