(-0.9991943901440589+0j),-0.9991943901440589j,0.040131916284205j,(-0.040131916284205+0j)
(-0.23805348076278016+0j),-0.23805348076278016j,0.971252047769643j,(-0.971252047769643+0j)
(-0.9335616966271506+0j),0.9335616966271506j,-0.3584167387143579j,(-0.3584167387143579+0j)
(-0.9728479380381556+0j),0.9728479380381556j,-0.23144521912303365j,(-0.23144521912303365+0j)
(-0.782064248198492+0j),0.782064248198492j,-0.6231978110437552j,(-0.6231978110437552+0j)
(-0.8177526299625072+0j),0.8177526299625072j,-0.5755698360663134j,(-0.5755698360663134+0j)
(-0.698938641555017+0j),0.698938641555017j,-0.7151816380061974j,(-0.7151816380061974+0j)
(-0.7496420220532564+0j),0.7496420220532564j,-0.6618435153205817j,(-0.6618435153205817+0j)
