(-0.9996410261412092+0j),0.9996410261412092j,-0.026792141671588277j,(-0.026792141671588277+0j)
(-0.9837369993927415+0j),-0.9837369993927415j,0.17961491036594285j,(-0.17961491036594285+0j)
(-0.7727475811057025+0j),-0.7727475811057025j,0.6347134596771097j,(-0.6347134596771097+0j)
(-0.6276500593762727+0j),-0.6276500593762727j,0.7784956024056665j,(-0.7784956024056665+0j)
(-0.9987293154842708+0j),-0.9987293154842708j,0.05039597595364343j,(-0.05039597595364343+0j)
(-0.9441207341733938+0j),-0.9441207341733938j,0.3295998169051253j,(-0.3295998169051253+0j)
(-0.07511078966309595+0j),-0.07511078966309595j,0.9971751948760992j,(-0.9971751948760992+0j)
(-0.27237488707966645+0j),0.27237488707966645j,-0.9621912080705888j,(-0.9621912080705888+0j)
(-0.8941399121942349+0j),-0.8941399121942349j,0.4477876923512814j,(-0.4477876923512814+0j)
(-0.8342877113101694+0j),-0.8342877113101694j,0.5513293160687536j,(-0.5513293160687536+0j)
(-0.6311905026373934+0j),-0.6311905026373934j,0.7756278420610975j,(-0.7756278420610975+0j)
(-0.5106026318423948+0j),-0.5106026318423948j,0.8598168132547886j,(-0.8598168132547886+0j)
(-0.8730465970908691+0j),-0.8730465970908691j,0.48763679035533614j,(-0.48763679035533614+0j)
(-0.7821793025070645+0j),-0.7821793025070645j,0.623053399581097j,(-0.623053399581097+0j)
(-0.1294289883944025+0j),0.1294289883944025j,-0.9915886934425996j,(-0.9915886934425996+0j)
(-0.6608001488472195+0j),0.6608001488472195j,-0.7505618983691437j,(-0.7505618983691437+0j)
(-0.9145726690285839+0j),-0.9145726690285839j,0.404421603114785j,(-0.404421603114785+0j)
(-0.629301730881158+0j),-0.629301730881158j,0.7771610717927004j,(-0.7771610717927004+0j)
(-0.024052732059703468+0j),0.024052732059703468j,-0.9997106911904384j,(-0.9997106911904384+0j)
(-0.1731193242287466+0j),0.1731193242287466j,-0.9849008577408095j,(-0.9849008577408095+0j)
(-0.8263686924847558+0j),-0.8263686924847558j,0.5631294558811812j,(-0.5631294558811812+0j)
(-0.381819956413419+0j),-0.381819956413419j,0.9242367234017781j,(-0.9242367234017781+0j)
(-0.45652729661275887+0j),0.45652729661275887j,-0.8897094061812802j,(-0.8897094061812802+0j)
(-0.585124045920461+0j),0.585124045920461j,-0.810943802544708j,(-0.810943802544708+0j)
(-0.20602819392643756+0j),-0.20602819392643756j,0.9785460557926797j,(-0.9785460557926797+0j)
(-0.07197769968948155+0j),-0.07197769968948155j,0.997406241582341j,(-0.997406241582341+0j)
(-0.17025461334539277+0j),0.17025461334539277j,-0.9854001048480819j,(-0.9854001048480819+0j)
(-0.2550445987000251+0j),0.2550445987000251j,-0.9669292904209403j,(-0.9669292904209403+0j)
(-0.1522875227130303+0j),-0.1522875227130303j,0.9883362334883451j,(-0.9883362334883451+0j)
(-0.01116565488510433+0j),0.01116565488510433j,-0.9999376621324887j,(-0.9999376621324887+0j)
(-0.5322009329481063+0j),0.5322009329481063j,-0.8466180762121521j,(-0.8466180762121521+0j)
(-0.7577647632935471+0j),0.7577647632935471j,-0.652527825851645j,(-0.652527825851645+0j)
(-0.9825620400839752+0j),-0.9825620400839752j,0.185935035391442j,(-0.185935035391442+0j)
(-0.9504798683424714+0j),-0.9504798683424714j,0.31078613205173455j,(-0.31078613205173455+0j)
(-0.6739072712254335+0j),-0.6739072712254335j,0.7388159376932052j,(-0.7388159376932052+0j)
(-0.37299239944030926+0j),-0.37299239944030926j,0.9278343979179479j,(-0.9278343979179479+0j)
(-0.9731955660412333+0j),-0.9731955660412333j,0.22997910826351972j,(-0.22997910826351972+0j)
(-0.9070723759152826+0j),-0.9070723759152826j,0.42097470808993315j,(-0.42097470808993315+0j)
(-0.6790420754238994+0j),0.6790420754238994j,-0.7340993528154096j,(-0.7340993528154096+0j)
(-0.8861565765256929+0j),0.8861565765256929j,-0.4633859318972297j,(-0.4633859318972297+0j)
(-0.8504173027996174+0j),-0.8504173027996174j,0.5261087445566971j,(-0.5261087445566971+0j)
