(-0.4403490958811065+0j),0.4403490958811065j,-0.8978266390326655j,(-0.8978266390326655+0j)
(-0.8599817340577114+0j),0.8599817340577114j,-0.510324815276596j,(-0.510324815276596+0j)
(-0.945818590179558+0j),-0.945818590179558j,0.3246955411932132j,(-0.3246955411932132+0j)
(-0.5803092272140312+0j),-0.5803092272140312j,0.8143962185633317j,(-0.8143962185633317+0j)
(-0.9821953814002659+0j),0.9821953814002659j,-0.18786227070911954j,(-0.18786227070911954+0j)
(-0.9908183635064199+0j),0.9908183635064199j,-0.1351997431153624j,(-0.1351997431153624+0j)
(-0.9635438823176331+0j),0.9635438823176331j,-0.2675503445115766j,(-0.2675503445115766+0j)
(-0.9745310823598424+0j),0.9745310823598424j,-0.22425246824629214j,(-0.22425246824629214+0j)
(-0.8505333144919293+0j),0.8505333144919293j,-0.5259211736937134j,(-0.5259211736937134+0j)
(-0.6704513470081381+0j),-0.6704513470081381j,0.7419534967199584j,(-0.7419534967199584+0j)
(-0.8111005136570002+0j),0.8111005136570002j,-0.5849067932118335j,(-0.5849067932118335+0j)
(-0.8243480516903923+0j),0.8243480516903923j,-0.5660832886371532j,(-0.5660832886371532+0j)
(-0.7757694382001494+0j),0.7757694382001494j,-0.6310164647254657j,(-0.6310164647254657+0j)
(-0.7834437110121911+0j),0.7834437110121911j,-0.6214627516395866j,(-0.6214627516395866+0j)
(-0.757793286880379+0j),0.757793286880379j,-0.6524947006367422j,(-0.6524947006367422+0j)
(-0.768822158631233+0j),0.768822158631233j,-0.6394626559836087j,(-0.6394626559836087+0j)
(-0.9430796753575781+0j),-0.9430796753575781j,0.3325668743688184j,(-0.3325668743688184+0j)
(-0.6681068388118739+0j),-0.6681068388118739j,0.7440653546112765j,(-0.7440653546112765+0j)
(-0.0357090073865404+0j),0.0357090073865404j,-0.9993622300204608j,(-0.9993622300204608+0j)
(-0.6641757447016617+0j),0.6641757447016617j,-0.7475764711051259j,(-0.7475764711051259+0j)
(-0.42728674441979825+0j),-0.42728674441979825j,0.9041161640204924j,(-0.9041161640204924+0j)
(-0.385377946225123+0j),-0.385377946225123j,0.9227588192823227j,(-0.9227588192823227+0j)
(-0.4890383521393258+0j),-0.4890383521393258j,0.8722622828810453j,(-0.8722622828810453+0j)
(-0.4557184774889876+0j),-0.4557184774889876j,0.8901239628698463j,(-0.8901239628698463+0j)
(-0.6792919369705969+0j),-0.6792919369705969j,0.7338681518956485j,(-0.7338681518956485+0j)
(-0.555399494694425+0j),0.555399494694425j,-0.8315836706508717j,(-0.8315836706508717+0j)
(-0.7213949292832418+0j),-0.7213949292832418j,0.6925239028397697j,(-0.6925239028397697+0j)
(-0.7079888092147497+0j),-0.7079888092147497j,0.7062236515627898j,(-0.7062236515627898+0j)
(-0.7541489089169896+0j),-0.7541489089169896j,0.656703451475104j,(-0.656703451475104+0j)
(-0.747370422209612+0j),-0.747370422209612j,0.6644075947836736j,(-0.6644075947836736+0j)
(-0.7693772300644814+0j),-0.7693772300644814j,0.6387947071307855j,(-0.6387947071307855+0j)
(-0.7601389444155958+0j),-0.7601389444155958j,0.6497605598855195j,(-0.6497605598855195+0j)
(-0.9777950213355107+0j),0.9777950213355107j,-0.20956358522293037j,(-0.20956358522293037+0j)
(-0.9874711479627285+0j),0.9874711479627285j,-0.1577996576079033j,(-0.1577996576079033+0j)
(-0.9600053972119521+0j),0.9600053972119521j,-0.2799814946097724j,(-0.2799814946097724+0j)
(-0.9700739892546831+0j),0.9700739892546831j,-0.24280950428577783j,(-0.24280950428577783+0j)
(-0.7976073133000671+0j),-0.7976073133000671j,0.603177066681293j,(-0.603177066681293+0j)
(-0.548167353865655+0j),0.548167353865655j,-0.8363686699990179j,(-0.8363686699990179+0j)
(-0.9995323790725571+0j),-0.9995323790725571j,0.03057814882484287j,(-0.03057814882484287+0j)
(-0.97900392211347+0j),-0.97900392211347j,0.20384141013651494j,(-0.20384141013651494+0j)
(-0.9868712852246486+0j),0.9868712852246486j,-0.16150871926633104j,(-0.16150871926633104+0j)
(-0.9690151145169718+0j),0.9690151145169718j,-0.24700143286560153j,(-0.24700143286560153+0j)
(-0.9848737375683374+0j),0.9848737375683374j,-0.1732735439938074j,(-0.1732735439938074+0j)
(-0.9854695146560972+0j),0.9854695146560972j,-0.1698523938114392j,(-0.1698523938114392+0j)
(-0.9835484694096114+0j),0.9835484694096114j,-0.18064442510637038j,(-0.18064442510637038+0j)
(-0.9838090685796563+0j),0.9838090685796563j,-0.17921974383540779j,(-0.17921974383540779+0j)
(-0.9829858759122749+0j),0.9829858759122749j,-0.18368115787139885j,(-0.18368115787139885+0j)
(-0.9833235292180649+0j),0.9833235292180649j,-0.18186488634733727j,(-0.18186488634733727+0j)
(-0.9602916841020238+0j),0.9602916841020238j,-0.2789979954130476j,(-0.2789979954130476+0j)
(-0.9690461916300692+0j),0.9690461916300692j,-0.24687948170566834j,(-0.24687948170566834+0j)
(-0.9746486083411574+0j),0.9746486083411574j,-0.22374112330692655j,(-0.22374112330692655+0j)
(-0.980794596297839+0j),0.980794596297839j,-0.19504348200583158j,(-0.19504348200583158+0j)
(-0.9714643361904679+0j),0.9714643361904679j,-0.23718567307072727j,(-0.23718567307072727+0j)
(-0.9717926510488172+0j),0.9717926510488172j,-0.23583689992770876j,(-0.23583689992770876+0j)
(-0.9709461154663375+0j),0.9709461154663375j,-0.239298225778692j,(-0.239298225778692+0j)
(-0.9712314610476833+0j),0.9712314610476833j,-0.23813745835374694j,(-0.23813745835374694+0j)
(-0.9688958235593295+0j),0.9688958235593295j,-0.24746895378873082j,(-0.24746895378873082+0j)
(-0.9791034432510074+0j),0.9791034432510074j,-0.2033628466903961j,(-0.2033628466903961+0j)
(-0.9682753841065205+0j),0.9682753841065205j,-0.24988553486220502j,(-0.24988553486220502+0j)
(-0.9684832529998434+0j),0.9684832529998434j,-0.24907867965532768j,(-0.24907867965532768+0j)
(-0.9677177763018214+0j),0.9677177763018214j,-0.25203631767953244j,(-0.25203631767953244+0j)
(-0.9678396514073747+0j),0.9678396514073747j,-0.25156790169584775j,(-0.25156790169584775+0j)
(-0.9674297265585547+0j),0.9674297265585547j,-0.2531397325013205j,(-0.2531397325013205+0j)
(-0.9676069206085016+0j),0.9676069206085016j,-0.2524615756714928j,(-0.2524615756714928+0j)
(-0.8410321062423248+0j),0.8410321062423248j,-0.5409852089194297j,(-0.5409852089194297+0j)
(-0.1330996959813382+0j),-0.1330996959813382j,0.9911026540826512j,(-0.9911026540826512+0j)
(-0.7954750401291987+0j),0.7954750401291987j,-0.605986353420149j,(-0.605986353420149+0j)
(-0.8102938224565931+0j),0.8102938224565931j,-0.5860238231409054j,(-0.5860238231409054+0j)
(-0.7581940020961284+0j),0.7581940020961284j,-0.6520290294039491j,(-0.6520290294039491+0j)
(-0.7660277567431203+0j),0.7660277567431203j,-0.6428074952107382j,(-0.6428074952107382+0j)
(-0.7403798040572198+0j),0.7403798040572198j,-0.6721887724026583j,(-0.6721887724026583+0j)
(-0.75122206364104+0j),0.75122206364104j,-0.6600495520026488j,(-0.6600495520026488+0j)
(-0.599620937913891+0j),-0.599620937913891j,0.8002841562940414j,(-0.8002841562940414+0j)
(-0.8080145103751543+0j),0.8080145103751543j,-0.5891625845411435j,(-0.5891625845411435+0j)
(-0.9814328199442834+0j),0.9814328199442834j,-0.19180620411293223j,(-0.19180620411293223+0j)
(-0.9996090290157842+0j),0.9996090290157842j,-0.02796049195063526j,(-0.02796049195063526+0j)
(-0.9300208380908209+0j),0.9300208380908209j,-0.3675067900282214j,(-0.3675067900282214+0j)
(-0.9388827496714828+0j),0.9388827496714828j,-0.34423710196507884j,(-0.34423710196507884+0j)
(-0.9132920413844785+0j),0.9132920413844785j,-0.40730534877874147j,(-0.40730534877874147+0j)
(-0.9229536614912095+0j),0.9229536614912095j,-0.3849110790039307j,(-0.3849110790039307+0j)
(-0.7957514497822843+0j),0.7957514497822843j,-0.6056233401788547j,(-0.6056233401788547+0j)
(-0.8080778379026915+0j),0.8080778379026915j,-0.5890757233925973j,(-0.5890757233925973+0j)
(-0.8242367170853694+0j),0.8242367170853694j,-0.5662453833880968j,(-0.5662453833880968+0j)
(-0.8705879320504517+0j),0.8705879320504517j,-0.4920128581329131j,(-0.4920128581329131+0j)
(-0.8137230302382015+0j),0.8137230302382015j,-0.5812528107974697j,(-0.5812528107974697+0j)
(-0.8146175721686173+0j),0.8146175721686173j,-0.5799984578549391j,(-0.5799984578549391+0j)
(-0.8123803591499377+0j),0.8123803591499377j,-0.5831279036947369j,(-0.5831279036947369+0j)
(-0.8131095248630019+0j),0.8131095248630019j,-0.5821107287939843j,(-0.5821107287939843+0j)
(-0.8077733045199865+0j),0.8077733045199865j,-0.5894932472088728j,(-0.5894932472088728+0j)
(-0.851499543155021+0j),0.851499543155021j,-0.5243553451685131j,(-0.5243553451685131+0j)
(-0.8065649892231335+0j),0.8065649892231335j,-0.5911454289423939j,(-0.5911454289423939+0j)
(-0.8069614184005254+0j),0.8069614184005254j,-0.5906041561088208j,(-0.5906041561088208+0j)
(-0.8055409326674778+0j),0.8055409326674778j,-0.5925401301154296j,(-0.5925401301154296+0j)
(-0.8057600178889699+0j),0.8057600178889699j,-0.592242174766005j,(-0.592242174766005+0j)
(-0.8050332343193385+0j),0.8050332343193385j,-0.5932297123723199j,(-0.5932297123723199+0j)
(-0.8053438834890657+0j),0.8053438834890657j,-0.592807919419731j,(-0.592807919419731+0j)
(-0.7542269778856004+0j),0.7542269778856004j,-0.6566137874196323j,(-0.6566137874196323+0j)
(-0.7629318325269936+0j),0.7629318325269936j,-0.6464789392679421j,(-0.6464789392679421+0j)
(-0.7365558589350236+0j),0.7365558589350236j,-0.6763767194903219j,(-0.6763767194903219+0j)
(-0.7469823348358952+0j),0.7469823348358952j,-0.6648438850159597j,(-0.6648438850159597+0j)
(-0.8040262593050994+0j),0.8040262593050994j,-0.5945937893619889j,(-0.5945937893619889+0j)
(-0.8506514493177126+0j),0.8506514493177126j,-0.5257300750134762j,(-0.5257300750134762+0j)
(-0.7814278907946257+0j),0.7814278907946257j,-0.6239955540612953j,(-0.6239955540612953+0j)
(-0.7907557379196125+0j),0.7907557379196125j,-0.6121318182770844j,(-0.6121318182770844+0j)
(-0.762388399313351+0j),0.762388399313351j,-0.6471197173571723j,(-0.6471197173571723+0j)
(-0.745946496322372+0j),0.745946496322372j,-0.6660058743167193j,(-0.6660058743167193+0j)
(-0.7605913867187795+0j),0.7605913867187795j,-0.6492308853167755j,(-0.6492308853167755+0j)
(-0.7611258427266128+0j),0.7611258427266128j,-0.6486042333609175j,(-0.6486042333609175+0j)
(-0.759404852589844+0j),0.759404852589844j,-0.6506183749810616j,(-0.6506183749810616+0j)
(-0.7596380285851976+0j),0.7596380285851976j,-0.6503461121027745j,(-0.6503461121027745+0j)
(-0.7589015049789352+0j),0.7589015049789352j,-0.6512054251468637j,(-0.6512054251468637+0j)
(-0.7592036012114164+0j),0.7592036012114164j,-0.6508532030401454j,(-0.6508532030401454+0j)
(-0.7368726130352808+0j),0.7368726130352808j,-0.6760316206795045j,(-0.6760316206795045+0j)
(-0.7459770715696349+0j),0.7459770715696349j,-0.6659716275430897j,(-0.6659716275430897+0j)
(-0.7513315406784331+0j),0.7513315406784331j,-0.659924932080742j,(-0.659924932080742+0j)
(-0.7569379520963228+0j),0.7569379520963228j,-0.6534867532522945j,(-0.6534867532522945+0j)
(-0.7483246874311624+0j),0.7483246874311624j,-0.6633326180590348j,(-0.6633326180590348+0j)
(-0.7486388870722602+0j),0.7486388870722602j,-0.6629779911604967j,(-0.6629779911604967+0j)
(-0.7478266227320056+0j),0.7478266227320056j,-0.663894074633328j,(-0.663894074633328+0j)
(-0.7481011954078614+0j),0.7481011954078614j,-0.6635846603330496j,(-0.6635846603330496+0j)
(-0.7458290318431151+0j),0.7458290318431151j,-0.6661374146975695j,(-0.6661374146975695+0j)
(-0.75541412432295+0j),0.75541412432295j,-0.6552476636916692j,(-0.6552476636916692+0j)
(-0.7452154991845109+0j),0.7452154991845109j,-0.6668237096678403j,(-0.6668237096678403+0j)
(-0.7454215431012643+0j),0.7454215431012643j,-0.6665933716146074j,(-0.6665933716146074+0j)
(-0.7446603028242393+0j),0.7446603028242393j,-0.6674436555977683j,(-0.6674436555977683+0j)
(-0.744781963320883+0j),0.744781963320883j,-0.6673078952866442j,(-0.6673078952866442+0j)
(-0.744372055629631+0j),0.744372055629631j,-0.6677651104974844j,(-0.6677651104974844+0j)
(-0.7445494888228695+0j),0.7445494888228695j,-0.6675672690400599j,(-0.6675672690400599+0j)
