(-0.31643475981360025+0j),0.31643475981360025j,-0.9486142750252652j,(-0.9486142750252652+0j)
(-0.7475803116793798+0j),0.7475803116793798j,-0.6641714218402968j,(-0.6641714218402968+0j)
(-0.9981365529939489+0j),0.9981365529939489j,-0.06101984576642112j,(-0.06101984576642112+0j)
(-0.9914033673044961+0j),-0.9914033673044961j,0.13084098477658462j,(-0.13084098477658462+0j)
(-0.7490875309305647+0j),0.7490875309305647j,-0.6624710340870387j,(-0.6624710340870387+0j)
(-0.8602724069574827+0j),0.8602724069574827j,-0.509834665188215j,(-0.509834665188215+0j)
(-0.08043666494692579+0j),0.08043666494692579j,-0.9967597217645867j,(-0.9967597217645867+0j)
(-0.3782601057926482+0j),0.3782601057926482j,-0.9256993531194319j,(-0.9256993531194319+0j)
