(-0.9999003572741596+0j),0.9999003572741596j,-0.014116498255882182j,(-0.014116498255882182+0j)
(-0.927694282642452+0j),-0.927694282642452j,0.37334075313646964j,(-0.37334075313646964+0j)
(-0.1845737263771586+0j),0.1845737263771586j,-0.9828186707278459j,(-0.9828186707278459+0j)
(-0.5085474546568888+0j),0.5085474546568888j,-0.8610339635357017j,(-0.8610339635357017+0j)
(-0.9267011232642611+0j),-0.9267011232642611j,0.37579918592348865j,(-0.37579918592348865+0j)
(-0.79117930687946+0j),-0.79117930687946j,0.6115842577811639j,(-0.6115842577811639+0j)
(-0.992022587336498+0j),0.992022587336498j,-0.1260602483505432j,(-0.1260602483505432+0j)
(-0.9997781495542781+0j),-0.9997781495542781j,0.021063040469586437j,(-0.021063040469586437+0j)
(-0.18514398198411988+0j),0.18514398198411988j,-0.9827114052126718j,(-0.9827114052126718+0j)
(-0.5110995378827694+0j),0.5110995378827694j,-0.859521531071805j,(-0.859521531071805+0j)
(-0.7259873541224973+0j),0.7259873541224973j,-0.6877080497232935j,(-0.6877080497232935+0j)
(-0.7794387309799473+0j),0.7794387309799473j,-0.6264784630363357j,(-0.6264784630363357+0j)
(-0.5120365460470954+0j),0.5120365460470954j,-0.8589636636739421j,(-0.8589636636739421+0j)
(-0.5829080248293497+0j),0.5829080248293497j,-0.81253814346746j,(-0.81253814346746+0j)
(-0.12063628337671785+0j),-0.12063628337671785j,0.9926967750189643j,(-0.9926967750189643+0j)
(-0.24476840780333434+0j),0.24476840780333434j,-0.9695815729176277j,(-0.9695815729176277+0j)
(-0.9256966955113183+0j),-0.9256966955113183j,0.37826660957507996j,(-0.37826660957507996+0j)
(-0.790504980222923+0j),-0.790504980222923j,0.6124556116509636j,(-0.6124556116509636+0j)
(-0.9919688636108498+0j),0.9919688636108498j,-0.12648230558698448j,(-0.12648230558698448+0j)
(-0.9997519656527054+0j),-0.9997519656527054j,0.022271218501731402j,(-0.022271218501731402+0j)
(-0.7888797539460489+0j),-0.7888797539460489j,0.6145475846621004j,(-0.6145475846621004+0j)
(-0.48801789966722353+0j),-0.48801789966722353j,0.8728336208031815j,(-0.8728336208031815+0j)
(-0.9436659008316909+0j),-0.9436659008316909j,0.3308997848405368j,(-0.3308997848405368+0j)
(-0.9189799115530612+0j),-0.9189799115530612j,0.3943043521975477j,(-0.3943043521975477+0j)
(-0.9920071598088387+0j),0.9920071598088387j,-0.12618159488610506j,(-0.12618159488610506+0j)
(-0.9997274061765793+0j),-0.9997274061765793j,0.02334766239795994j,(-0.02334766239795994+0j)
(-0.993181365139926+0j),-0.993181365139926j,0.11657948335274454j,(-0.11657948335274454+0j)
(-0.9897865123083847+0j),-0.9897865123083847j,0.14255756750311185j,(-0.14255756750311185+0j)
(-0.9997180996910359+0j),-0.9997180996910359j,0.023742812599693172j,(-0.023742812599693172+0j)
(-0.9985604152924711+0j),-0.9985604152924711j,0.05363857763706636j,(-0.05363857763706636+0j)
(-0.943405781398869+0j),0.943405781398869j,-0.3316406664195292j,(-0.3316406664195292+0j)
(-0.9954003982855568+0j),0.9954003982855568j,-0.09580212467870909j,(-0.09580212467870909+0j)
(-0.1856542601742763+0j),0.1856542601742763j,-0.9826151310045772j,(-0.9826151310045772+0j)
(-0.5136337751506223+0j),0.5136337751506223j,-0.8580095250196935j,(-0.8580095250196935+0j)
(-0.7276633229123287+0j),0.7276633229123287j,-0.685934463697654j,(-0.685934463697654+0j)
(-0.7806179623643508+0j),0.7806179623643508j,-0.6250084774098101j,(-0.6250084774098101+0j)
