(-0.9446857890504264+0j),0.9446857890504264j,-0.32797676741832393j,(-0.32797676741832393+0j)
(-0.9438837380076601+0j),0.9438837380076601j,-0.3302778968152228j,(-0.3302778968152228+0j)
(-0.9352670760657088+0j),0.9352670760657088j,-0.35394278694091236j,(-0.35394278694091236+0j)
(-0.9373699066973856+0j),0.9373699066973856j,-0.3483355537669601j,(-0.3483355537669601+0j)
(-0.9526852066537952+0j),0.9526852066537952j,-0.3039587094047734j,(-0.3039587094047734+0j)
(-0.953228053511707+0j),0.953228053511707j,-0.30225201074315805j,(-0.30225201074315805+0j)
(-0.9540300904515898+0j),0.9540300904515898j,-0.2997108381639404j,(-0.2997108381639404+0j)
(-0.9540005187737437+0j),0.9540005187737437j,-0.29980495356052445j,(-0.29980495356052445+0j)
(-0.8948789936668953+0j),0.8948789936668953j,-0.44630884675718097j,(-0.44630884675718097+0j)
(-0.8972119845440363+0j),0.8972119845440363j,-0.4416001073262463j,(-0.4416001073262463+0j)
(-0.8988301421277424+0j),0.8988301421277424j,-0.438297131638598j,(-0.438297131638598+0j)
(-0.8993973639952473+0j),0.8993973639952473j,-0.4371319956699586j,(-0.4371319956699586+0j)
(-0.8824502243892361+0j),0.8824502243892361j,-0.47040578384559323j,(-0.47040578384559323+0j)
(-0.8820931099193788+0j),0.8820931099193788j,-0.4710750953221352j,(-0.4710750953221352+0j)
(-0.8764166360379951+0j),0.8764166360379951j,-0.48155361080137726j,(-0.48155361080137726+0j)
(-0.8775845322909772+0j),0.8775845322909772j,-0.47942193179247333j,(-0.47942193179247333+0j)
