(-0.5050575478003833+0j),0.5050575478003833j,-0.8630856697975375j,(-0.8630856697975375+0j)
(-0.8722442145981091+0j),0.8722442145981091j,-0.4890705778311836j,(-0.4890705778311836+0j)
(-0.91740695941147+0j),-0.91740695941147j,0.3979503371319107j,(-0.3979503371319107+0j)
(-0.4595407249002767+0j),-0.4595407249002767j,0.8881566991010811j,(-0.8881566991010811+0j)
(-0.9868586712790902+0j),0.9868586712790902j,-0.16158577573929245j,(-0.16158577573929245+0j)
(-0.9943916623117119+0j),0.9943916623117119j,-0.10576020955420962j,(-0.10576020955420962+0j)
(-0.969562999438083+0j),0.969562999438083j,-0.24484196968785427j,(-0.24484196968785427+0j)
(-0.9798382567075524+0j),0.9798382567075524j,-0.19979236895413438j,(-0.19979236895413438+0j)
(-0.8635264903508342+0j),0.8635264903508342j,-0.5043034805178038j,(-0.5043034805178038+0j)
(-0.5644550939523256+0j),-0.5644550939523256j,0.8254637768619961j,(-0.8254637768619961+0j)
(-0.8274768993517793+0j),0.8274768993517793j,-0.5614997604978702j,(-0.5614997604978702+0j)
(-0.8395292950738108+0j),0.8395292950738108j,-0.5433144234353349j,(-0.5433144234353349+0j)
(-0.7956035619381189+0j),0.7956035619381189j,-0.6058176064059032j,(-0.6058176064059032+0j)
(-0.802494773199862+0j),0.802494773199862j,-0.5966591480794561j,(-0.5966591480794561+0j)
(-0.7795270292923456+0j),0.7795270292923456j,-0.6263685900511382j,(-0.6263685900511382+0j)
(-0.7893797578744907+0j),0.7893797578744907j,-0.6139052026640681j,(-0.6139052026640681+0j)
(-0.9136146960752897+0j),-0.9136146960752897j,0.4065810953736736j,(-0.4065810953736736+0j)
(-0.5616642747258835+0j),-0.5616642747258835j,0.8273652412910801j,(-0.8273652412910801+0j)
(-0.154989557016239+0j),0.154989557016239j,-0.9879161083897308j,(-0.9879161083897308+0j)
(-0.6970751693624146+0j),0.6970751693624146j,-0.7169980531761304j,(-0.7169980531761304+0j)
(-0.2918772702857418+0j),-0.2918772702857418j,0.9564557799974571j,(-0.9564557799974571+0j)
(-0.24802819873254328+0j),-0.24802819873254328j,0.96875281296804j,(-0.96875281296804+0j)
(-0.3580519710372046+0j),-0.3580519710372046j,0.9337016579381088j,(-0.9337016579381088+0j)
(-0.3221073747488305+0j),-0.3221073747488305j,0.9467031420315539j,(-0.9467031420315539+0j)
(-0.575009214526309+0j),-0.575009214526309j,0.818146932530971j,(-0.818146932530971+0j)
(-0.6032006437357307+0j),0.6032006437357307j,-0.7975894830028791j,(-0.7975894830028791+0j)
(-0.6259445564861246+0j),-0.6259445564861246j,0.779867560682831j,(-0.779867560682831+0j)
