(-0.6390228541687015+0j),0.6390228541687015j,-0.7691877481149101j,(-0.7691877481149101+0j)
(-0.6390228541688207+0j),0.6390228541688207j,-0.7691877481148112j,(-0.7691877481148112+0j)
(-0.6390228541725654+0j),0.6390228541725654j,-0.7691877481117003j,(-0.7691877481117003+0j)
(-0.6390228541727778+0j),0.6390228541727778j,-0.7691877481115239j,(-0.7691877481115239+0j)
(-0.6390228543239546+0j),0.6390228543239546j,-0.7691877479859296j,(-0.7691877479859296+0j)
(-0.639022854324382+0j),0.639022854324382j,-0.7691877479855747j,(-0.7691877479855747+0j)
(-0.639022854329687+0j),0.639022854329687j,-0.7691877479811674j,(-0.7691877479811674+0j)
(-0.6390228543298075+0j),0.6390228543298075j,-0.7691877479810673j,(-0.7691877479810673+0j)
(-0.6390228603289108+0j),0.6390228603289108j,-0.7691877429971552j,(-0.7691877429971552+0j)
(-0.6390228603293532+0j),0.6390228603293532j,-0.7691877429967876j,(-0.7691877429967876+0j)
(-0.6390228603427456+0j),0.6390228603427456j,-0.7691877429856615j,(-0.7691877429856615+0j)
(-0.6390228603434766+0j),0.6390228603434766j,-0.7691877429850541j,(-0.7691877429850541+0j)
(-0.6390228605557962+0j),0.6390228605557962j,-0.769187742808664j,(-0.769187742808664+0j)
(-0.6390228605560413+0j),0.6390228605560413j,-0.7691877428084606j,(-0.7691877428084606+0j)
(-0.6390228605590165+0j),0.6390228605590165j,-0.7691877428059887j,(-0.7691877428059887+0j)
(-0.6390228605590826+0j),0.6390228605590826j,-0.7691877428059339j,(-0.7691877428059339+0j)
(-0.6390230985406807+0j),0.6390230985406807j,-0.7691875450964267j,(-0.7691875450964267+0j)
(-0.6390230985411235+0j),0.6390230985411235j,-0.7691875450960589j,(-0.7691875450960589+0j)
(-0.6390230985550296+0j),0.6390230985550296j,-0.7691875450845062j,(-0.7691875450845062+0j)
(-0.6390230985558175+0j),0.6390230985558175j,-0.7691875450838513j,(-0.7691875450838513+0j)
(-0.6390230990961759+0j),0.6390230990961759j,-0.7691875446349343j,(-0.7691875446349343+0j)
(-0.6390230990976479+0j),0.6390230990976479j,-0.7691875446337115j,(-0.7691875446337115+0j)
(-0.6390230991158912+0j),0.6390230991158912j,-0.7691875446185553j,(-0.7691875446185553+0j)
(-0.6390230991163047+0j),0.6390230991163047j,-0.7691875446182119j,(-0.7691875446182119+0j)
(-0.639023107540207+0j),0.639023107540207j,-0.7691875376198297j,(-0.7691875376198297+0j)
(-0.6390231075404611+0j),0.6390231075404611j,-0.7691875376196187j,(-0.7691875376196187+0j)
(-0.6390231075481395+0j),0.6390231075481395j,-0.7691875376132398j,(-0.7691875376132398+0j)
(-0.639023107548558+0j),0.639023107548558j,-0.7691875376128922j,(-0.7691875376128922+0j)
(-0.6390231076676243+0j),0.6390231076676243j,-0.7691875375139747j,(-0.7691875375139747+0j)
(-0.6390231076677589+0j),0.6390231076677589j,-0.7691875375138627j,(-0.7691875375138627+0j)
(-0.6390231076693926+0j),0.6390231076693926j,-0.7691875375125053j,(-0.7691875375125053+0j)
(-0.6390231076694292+0j),0.6390231076694292j,-0.7691875375124752j,(-0.7691875375124752+0j)
(-0.6390325480384952+0j),0.6390325480384952j,-0.7691796945756099j,(-0.7691796945756099+0j)
(-0.6390325480389379+0j),0.6390325480389379j,-0.7691796945752422j,(-0.7691796945752422+0j)
(-0.6390325480528569+0j),0.6390325480528569j,-0.7691796945636783j,(-0.7691796945636783+0j)
(-0.6390325480536466+0j),0.6390325480536466j,-0.7691796945630223j,(-0.7691796945630223+0j)
(-0.6390325486150226+0j),0.6390325486150226j,-0.7691796940966322j,(-0.7691796940966322+0j)
(-0.6390325486166081+0j),0.6390325486166081j,-0.7691796940953152j,(-0.7691796940953152+0j)
(-0.6390325486362883+0j),0.6390325486362883j,-0.7691796940789649j,(-0.7691796940789649+0j)
(-0.6390325486367351+0j),0.6390325486367351j,-0.7691796940785938j,(-0.7691796940785938+0j)
(-0.6390325700785839+0j),0.6390325700785839j,-0.7691796762647591j,(-0.7691796762647591+0j)
(-0.6390325700801075+0j),0.6390325700801075j,-0.7691796762634935j,(-0.7691796762634935+0j)
(-0.6390325701262233+0j),0.6390325701262233j,-0.7691796762251807j,(-0.7691796762251807+0j)
(-0.63903257012874+0j),0.63903257012874j,-0.7691796762230898j,(-0.7691796762230898+0j)
(-0.6390325708588405+0j),0.6390325708588405j,-0.7691796756165242j,(-0.7691796756165242+0j)
(-0.6390325708596821+0j),0.6390325708596821j,-0.7691796756158249j,(-0.7691796756158249+0j)
(-0.6390325708698998+0j),0.6390325708698998j,-0.769179675607336j,(-0.769179675607336+0j)
(-0.6390325708701269+0j),0.6390325708701269j,-0.7691796756071472j,(-0.7691796756071472+0j)
(-0.6390329050285931+0j),0.6390329050285931j,-0.7691793979889979j,(-0.7691793979889979+0j)
(-0.6390329050288474+0j),0.6390329050288474j,-0.7691793979887867j,(-0.7691793979887867+0j)
(-0.6390329050368306+0j),0.6390329050368306j,-0.7691793979821541j,(-0.7691793979821541+0j)
(-0.6390329050372832+0j),0.6390329050372832j,-0.7691793979817783j,(-0.7691793979817783+0j)
(-0.6390329053470754+0j),0.6390329053470754j,-0.7691793977244034j,(-0.7691793977244034+0j)
(-0.639032905347918+0j),0.639032905347918j,-0.7691793977237035j,(-0.7691793977237035+0j)
(-0.6390329053583623+0j),0.6390329053583623j,-0.7691793977150261j,(-0.7691793977150261+0j)
(-0.6390329053585991+0j),0.6390329053585991j,-0.7691793977148296j,(-0.7691793977148296+0j)
(-0.6390329100824398+0j),0.6390329100824398j,-0.769179393790271j,(-0.769179393790271+0j)
(-0.6390329100825793+0j),0.6390329100825793j,-0.7691793937901551j,(-0.7691793937901551+0j)
(-0.6390329100867969+0j),0.6390329100867969j,-0.7691793937866509j,(-0.7691793937866509+0j)
