(-0.37149432460868476+0j),0.37149432460868476j,-0.9284352248722242j,(-0.9284352248722242+0j)
(-0.7926738803326719+0j),0.7926738803326719j,-0.6096458967616736j,(-0.6096458967616736+0j)
(-0.9984858868002375+0j),0.9984858868002375j,-0.055008488988002445j,(-0.055008488988002445+0j)
(-0.9979663573287786+0j),-0.9979663573287786j,0.0637428399110754j,(-0.0637428399110754+0j)
(-0.7798626077101116+0j),0.7798626077101116j,-0.6259507273704413j,(-0.6259507273704413+0j)
(-0.878803981585597+0j),0.878803981585597j,-0.4771829439002421j,(-0.4771829439002421+0j)
(-0.22203649869084283+0j),0.22203649869084283j,-0.9750383547579611j,(-0.9750383547579611+0j)
(-0.4054728203772043+0j),0.4054728203772043j,-0.9141071009106951j,(-0.9141071009106951+0j)
(-0.9989019872297241+0j),0.9989019872297241j,-0.04684890509401933j,(-0.04684890509401933+0j)
(-0.9966240523680076+0j),-0.9966240523680076j,0.08210053740123173j,(-0.08210053740123173+0j)
(-0.9657632171714342+0j),-0.9657632171714342j,0.25942514981913617j,(-0.25942514981913617+0j)
(-0.9447208169812678+0j),-0.9447208169812678j,0.32787585754709986j,(-0.32787585754709986+0j)
(-0.9969406389684932+0j),-0.9969406389684932j,0.07816241023082975j,(-0.07816241023082975+0j)
(-0.993357875111505+0j),-0.993357875111505j,0.1150657722954819j,(-0.1150657722954819+0j)
(-0.9938377257131759+0j),0.9938377257131759j,-0.11084482373689017j,(-0.11084482373689017+0j)
(-0.9993319310876297+0j),0.9993319310876297j,-0.03654711354771006j,(-0.03654711354771006+0j)
(-0.7675360959154397+0j),0.7675360959154397j,-0.6410057265476535j,(-0.6410057265476535+0j)
(-0.8507439924165984+0j),0.8507439924165984j,-0.5255803072481569j,(-0.5255803072481569+0j)
(-0.2462779751866548+0j),0.2462779751866548j,-0.9691992359355025j,(-0.9691992359355025+0j)
(-0.41500844771015816+0j),0.41500844771015816j,-0.9098175577164936j,(-0.9098175577164936+0j)
(-0.8664888855301255+0j),0.8664888855301255j,-0.49919636542422974j,(-0.49919636542422974+0j)
(-0.9008127714138986+0j),0.9008127714138986j,-0.43420772777279265j,(-0.43420772777279265+0j)
(-0.7415900216961459+0j),0.7415900216961459j,-0.6708533667804835j,(-0.6708533667804835+0j)
(-0.7766308298854973+0j),0.7766308298854973j,-0.6299559937577893j,(-0.6299559937577893+0j)
(-0.2512744311590006+0j),0.2512744311590006j,-0.9679158849020512j,(-0.9679158849020512+0j)
(-0.40782343808269256+0j),0.40782343808269256j,-0.913060810324489j,(-0.913060810324489+0j)
