(-0.8604781566008204+0j),0.8604781566008204j,-0.509487332534239j,(-0.509487332534239+0j)
(-0.948734381635528+0j),0.948734381635528j,-0.31607447398145355j,(-0.31607447398145355+0j)
(-0.9929452821741751+0j),-0.9929452821741751j,0.11857346502505438j,(-0.11857346502505438+0j)
(-0.9615317366396101+0j),-0.9615317366396101j,0.274693864938436j,(-0.274693864938436+0j)
(-0.8993510746042699+0j),0.8993510746042699j,-0.43722722308674355j,(-0.43722722308674355+0j)
(-0.984463010357018+0j),0.984463010357018j,-0.17559208763152695j,(-0.17559208763152695+0j)
(-0.7277063986967098+0j),-0.7277063986967098j,0.685888764520797j,(-0.685888764520797+0j)
(-0.47076916509981154+0j),-0.47076916509981154j,0.882256421450831j,(-0.882256421450831+0j)
(-0.9979390395650879+0j),0.9979390395650879j,-0.06416909935405161j,(-0.06416909935405161+0j)
(-0.999371153971264+0j),-0.999371153971264j,0.035458378560562366j,(-0.035458378560562366+0j)
(-0.9624885748423783+0j),-0.9624885748423783j,0.27132221305652054j,(-0.27132221305652054+0j)
(-0.9257655509113552+0j),-0.9257655509113552j,0.3780980623407048j,(-0.3780980623407048+0j)
(-0.9996579730182226+0j),0.9996579730182226j,-0.026152188839535174j,(-0.026152188839535174+0j)
(-0.9942882590509544+0j),-0.9942882590509544j,0.10672796219090151j,(-0.10672796219090151+0j)
(-0.5908406884897671+0j),-0.5908406884897671j,0.8067882503017371j,(-0.8067882503017371+0j)
(-0.01535333194604322+0j),0.01535333194604322j,-0.9998821306524859j,(-0.9998821306524859+0j)
(-0.9944482059191908+0j),0.9944482059191908j,-0.10522721009369657j,(-0.10522721009369657+0j)
(-0.9619791084765289+0j),-0.9619791084765289j,0.273123039772742j,(-0.273123039772742+0j)
(-0.6657875568354228+0j),-0.6657875568354228j,0.7461413600405211j,(-0.7461413600405211+0j)
(-0.5565900005257544+0j),-0.5565900005257544j,0.8307873201456201j,(-0.8307873201456201+0j)
(-0.9988938229457592+0j),-0.9988938229457592j,0.04702265922729759j,(-0.04702265922729759+0j)
(-0.8780120080633819+0j),-0.8780120080633819j,0.47863860447785445j,(-0.47863860447785445+0j)
(-0.275454946877218+0j),-0.275454946877218j,0.9613139821311606j,(-0.9613139821311606+0j)
(-0.10327328334204464+0j),-0.10327328334204464j,0.9946530193729641j,(-0.9946530193729641+0j)
(-0.7987260424384942+0j),-0.7987260424384942j,0.6016948638060168j,(-0.6016948638060168+0j)
(-0.7258643984792145+0j),-0.7258643984792145j,0.6878378261046773j,(-0.6878378261046773+0j)
(-0.5588978094256389+0j),-0.5588978094256389j,0.8292365396068979j,(-0.8292365396068979+0j)
(-0.48661753556350673+0j),-0.48661753556350673j,0.8736151178191113j,(-0.8736151178191113+0j)
(-0.7709264576008462+0j),-0.7709264576008462j,0.6369241689330142j,(-0.6369241689330142+0j)
(-0.6742758602264929+0j),-0.6742758602264929j,0.7384795625579783j,(-0.7384795625579783+0j)
(-0.1782801101338068+0j),-0.1782801101338068j,0.9839797773992501j,(-0.9839797773992501+0j)
