(-0.35142419486696097+0j),-0.35142419486696097j,0.9362163399888448j,(-0.9362163399888448+0j)
(-0.04226041901127564+0j),-0.04226041901127564j,0.9991066294370144j,(-0.9991066294370144+0j)
(-0.5632681323437781+0j),0.5632681323437781j,-0.8262741742823336j,(-0.8262741742823336+0j)
(-0.7097327639290971+0j),0.7097327639290971j,-0.7044710099113835j,(-0.7044710099113835+0j)
(-0.23797698317090862+0j),-0.23797698317090862j,0.9712707941047508j,(-0.9712707941047508+0j)
(-0.17944572790403077+0j),0.17944572790403077j,-0.9837678744180421j,(-0.9837678744180421+0j)
(-0.941734378328714+0j),0.941734378328714j,-0.3363574893975618j,(-0.3363574893975618+0j)
(-0.9936169235894119+0j),0.9936169235894119j,-0.11280695526745269j,(-0.11280695526745269+0j)
(-0.34066001556133463+0j),0.34066001556133463j,-0.9401865526573709j,(-0.9401865526573709+0j)
(-0.4689420725441042+0j),0.4689420725441042j,-0.8832289242308815j,(-0.8832289242308815+0j)
(-0.7069694507650691+0j),0.7069694507650691j,-0.7072440849416393j,(-0.7072440849416393+0j)
(-0.7867038636232323+0j),0.7867038636232323j,-0.6173305686261444j,(-0.6173305686261444+0j)
(-0.3915182089787119+0j),0.3915182089787119j,-0.9201703603344883j,(-0.9201703603344883+0j)
(-0.5505381422543005+0j),0.5505381422543005j,-0.834810010674994j,(-0.834810010674994+0j)
(-0.9780939861815748+0j),0.9780939861815748j,-0.208163767729731j,(-0.208163767729731+0j)
(-0.9759974364669447+0j),-0.9759974364669447j,0.2177820102991806j,(-0.2177820102991806+0j)
(-0.283242575251386+0j),0.283242575251386j,-0.9590483009551516j,(-0.9590483009551516+0j)
(-0.7084474397562773+0j),0.7084474397562773j,-0.7057635759252358j,(-0.7057635759252358+0j)
(-0.9614731442719094+0j),0.9614731442719094j,-0.2748988774875007j,(-0.2748988774875007+0j)
(-0.9837118614779411+0j),0.9837118614779411j,-0.17975253430092178j,(-0.17975253430092178+0j)
(-0.482766417086932+0j),0.482766417086932j,-0.8757491573122103j,(-0.8757491573122103+0j)
(-0.8483868746690293+0j),0.8483868746690293j,-0.5293767192551229j,(-0.5293767192551229+0j)
(-0.9996816602792935+0j),-0.9996816602792935j,0.025230499425009257j,(-0.025230499425009257+0j)
(-0.9902301514374081+0j),-0.9902301514374081j,0.13944263044079405j,(-0.13944263044079405+0j)
(-0.9087770376208514+0j),0.9087770376208514j,-0.41728203399268204j,(-0.41728203399268204+0j)
(-0.9424224619583906+0j),0.9424224619583906j,-0.3344247347255968j,(-0.3344247347255968+0j)
(-0.9833665082767942+0j),0.9833665082767942j,-0.18163234954023472j,(-0.18163234954023472+0j)
(-0.9921843071824967+0j),0.9921843071824967j,-0.12478101049754764j,(-0.12478101049754764+0j)
(-0.9233465331087465+0j),0.9233465331087465j,-0.3839676806660407j,(-0.3839676806660407+0j)
(-0.9591389516102226+0j),0.9591389516102226j,-0.28293545466067543j,(-0.28293545466067543+0j)
(-0.9959383216566786+0j),-0.9959383216566786j,0.09003810002259198j,(-0.09003810002259198+0j)
(-0.9415534895793057+0j),-0.9415534895793057j,0.3368635128075346j,(-0.3368635128075346+0j)
(-0.03268753849418304+0j),-0.03268753849418304j,0.999465619632407j,(-0.999465619632407+0j)
(-0.15249617868347043+0j),0.15249617868347043j,-0.9883040602400353j,(-0.9883040602400353+0j)
(-0.6710233897059191+0j),0.6710233897059191j,-0.7414361809809246j,(-0.7414361809809246+0j)
(-0.8519813305415286+0j),0.8519813305415286j,-0.5235721654258244j,(-0.5235721654258244+0j)
(-0.033641589782184025+0j),0.033641589782184025j,-0.9994339615186825j,(-0.9994339615186825+0j)
(-0.305408638515754+0j),0.305408638515754j,-0.9522213836708109j,(-0.9522213836708109+0j)
(-0.9711823662683009+0j),-0.9711823662683009j,0.238337599739328j,(-0.238337599739328+0j)
(-0.8339470608037153+0j),-0.8339470608037153j,0.55184445251977j,(-0.55184445251977+0j)
(-0.4388529783510469+0j),0.4388529783510469j,-0.8985588814275978j,(-0.8985588814275978+0j)
(-0.5649343843829749+0j),0.5649343843829749j,-0.8251358320554435j,(-0.8251358320554435+0j)
(-0.8485737504522862+0j),0.8485737504522862j,-0.5290771116230047j,(-0.5290771116230047+0j)
(-0.9399460948740058+0j),0.9399460948740058j,-0.3413229244148515j,(-0.3413229244148515+0j)
(-0.48644208660150795+0j),0.48644208660150795j,-0.87371282260407j,(-0.87371282260407+0j)
(-0.6560499492744036+0j),0.6560499492744036j,-0.7547174730036746j,(-0.7547174730036746+0j)
(-0.8997781688784012+0j),-0.8997781688784012j,0.43634762152420564j,(-0.43634762152420564+0j)
(-0.5958258406901316+0j),-0.5958258406901316j,0.8031136703891285j,(-0.8031136703891285+0j)
(-0.38852760934723446+0j),0.38852760934723446j,-0.9214370823745499j,(-0.9214370823745499+0j)
(-0.850397448078967+0j),0.850397448078967j,-0.526140836944616j,(-0.526140836944616+0j)
(-0.940526488417629+0j),-0.940526488417629j,0.3397203623346763j,(-0.3397203623346763+0j)
(-0.8808436899775273+0j),-0.8808436899775273j,0.4734072177594827j,(-0.4734072177594827+0j)
(-0.5797615559870916+0j),0.5797615559870916j,-0.8147861917088598j,(-0.8147861917088598+0j)
(-0.9889098098217111+0j),0.9889098098217111j,-0.1485172987849819j,(-0.1485172987849819+0j)
(-0.7333268549399544+0j),-0.7333268549399544j,0.6798762562583541j,(-0.6798762562583541+0j)
(-0.6509010298848116+0j),-0.6509010298848116j,0.7591625974024878j,(-0.7591625974024878+0j)
(-0.9961999551070916+0j),-0.9961999551070916j,0.08709563390106848j,(-0.08709563390106848+0j)
(-0.970348980880135+0j),-0.970348980880135j,0.24170820280843544j,(-0.24170820280843544+0j)
(-0.8821185965758399+0j),-0.8821185965758399j,0.47102736818052393j,(-0.47102736818052393+0j)
(-0.8425068752271639+0j),-0.8425068752271639j,0.5386855902982369j,(-0.5386855902982369+0j)
(-0.9884300943149177+0j),-0.9884300943149177j,0.15167711973993614j,(-0.15167711973993614+0j)
(-0.9449739498425694+0j),-0.9449739498425694j,0.32714558551038597j,(-0.32714558551038597+0j)
(-0.6862808735525576+0j),-0.6862808735525576j,0.7273366226142737j,(-0.7273366226142737+0j)
(-0.5143581203880768+0j),-0.5143581203880768j,0.857575491715362j,(-0.857575491715362+0j)
(-0.5650503592973755+0j),0.5650503592973755j,-0.8250564171363719j,(-0.8250564171363719+0j)
(-0.7136995421610962+0j),0.7136995421610962j,-0.7004519708866851j,(-0.7004519708866851+0j)
(-0.8748540057388341+0j),0.8748540057388341j,-0.48438669329649864j,(-0.48438669329649864+0j)
(-0.9097030212857633+0j),0.9097030212857633j,-0.41525945270824877j,(-0.41525945270824877+0j)
(-0.6311221757541601+0j),0.6311221757541601j,-0.7756834401167367j,(-0.7756834401167367+0j)
(-0.7818165244842851+0j),0.7818165244842851j,-0.6235085581155348j,(-0.6235085581155348+0j)
(-0.9784212186563239+0j),0.9784212186563239j,-0.20662022863958462j,(-0.20662022863958462+0j)
