(-0.8456106621086096+0j),0.8456106621086096j,-0.5338001574824036j,(-0.5338001574824036+0j)
(-0.9759624926623363+0j),0.9759624926623363j,-0.21793855307475923j,(-0.21793855307475923+0j)
(-0.6456440142516331+0j),-0.6456440142516331j,0.7636385315455455j,(-0.7636385315455455+0j)
(-0.587066749352108+0j),-0.587066749352108j,0.8095385301547724j,(-0.8095385301547724+0j)
(-0.30461423274184446+0j),-0.30461423274184446j,0.9524758103023392j,(-0.9524758103023392+0j)
(-0.16218159524704773+0j),-0.16218159524704773j,0.9867609285754696j,(-0.9867609285754696+0j)
(-0.003792195500733686+0j),0.003792195500733686j,-0.9999928096007913j,(-0.9999928096007913+0j)
(-0.014016230514489412+0j),0.014016230514489412j,-0.9999017678163014j,(-0.9999017678163014+0j)
(-0.9122571282401557+0j),0.9122571282401557j,-0.40961803179916806j,(-0.40961803179916806+0j)
(-0.9998317267558499+0j),-0.9998317267558499j,0.018344431646026657j,(-0.018344431646026657+0j)
(-0.16204242226388782+0j),0.16204242226388782j,-0.986783792624733j,(-0.986783792624733+0j)
(-0.213939158236778+0j),0.213939158236778j,-0.9768469872876402j,(-0.9768469872876402+0j)
(-0.39104098859253555+0j),0.39104098859253555j,-0.9203732640839652j,(-0.9203732640839652+0j)
(-0.457028287419155+0j),0.457028287419155j,-0.8894521597583055j,(-0.8894521597583055+0j)
(-0.5253255437028969+0j),0.5253255437028969j,-0.8509013298457443j,(-0.8509013298457443+0j)
(-0.5293501024420819+0j),0.5293501024420819j,-0.848403482456642j,(-0.848403482456642+0j)
(-0.8561890910558467+0j),-0.8561890910558467j,0.516662598178892j,(-0.516662598178892+0j)
(-0.799412289089463+0j),-0.799412289089463j,0.6007828160431561j,(-0.6007828160431561+0j)
(-0.5380554470974999+0j),-0.5380554470974999j,0.8429094470040717j,(-0.8429094470040717+0j)
(-0.49733454332960253+0j),-0.49733454332960253j,0.8675588464254953j,(-0.8675588464254953+0j)
(-0.16071248500496285+0j),-0.16071248500496285j,0.9870012650263068j,(-0.9870012650263068+0j)
(-0.18834048449558327+0j),0.18834048449558327j,-0.9821037938527521j,(-0.9821037938527521+0j)
(-0.713895920277557+0j),0.713895920277557j,-0.7002518225688956j,(-0.7002518225688956+0j)
(-0.740901763280243+0j),0.740901763280243j,-0.6716134134814662j,(-0.6716134134814662+0j)
(-0.8321520092393951+0j),-0.8321520092393951j,0.5545475935560786j,(-0.5545475935560786+0j)
(-0.7608844832698165+0j),-0.7608844832698165j,0.6488873578050544j,(-0.6488873578050544+0j)
(-0.9699828227848238+0j),0.9699828227848238j,-0.2431734432506665j,(-0.2431734432506665+0j)
(-0.9929905237909502+0j),0.9929905237909502j,-0.11819399164667681j,(-0.11819399164667681+0j)
(-0.9840484761718985+0j),-0.9840484761718985j,0.17790052429311412j,(-0.17790052429311412+0j)
(-0.9679494836916598+0j),-0.9679494836916598j,0.2511449721197884j,(-0.2511449721197884+0j)
(-0.9495155538549918+0j),-0.9495155538549918j,0.3137199594980344j,(-0.3137199594980344+0j)
(-0.9484021174168676+0j),-0.9484021174168676j,0.31707006115242437j,(-0.31707006115242437+0j)
(-0.32790848031769665+0j),-0.32790848031769665j,0.9447094942551065j,(-0.9447094942551065+0j)
(-0.2511617636628433+0j),-0.2511617636628433j,0.9679451267885852j,(-0.9679451267885852+0j)
(-0.12075807971179305+0j),-0.12075807971179305j,0.9926819662834216j,(-0.9926819662834216+0j)
(-0.1104571486871914+0j),-0.1104571486871914j,0.993880887382334j,(-0.993880887382334+0j)
(-0.051898045747809825+0j),-0.051898045747809825j,0.9986523883952607j,(-0.9986523883952607+0j)
(-0.009031088294290227+0j),-0.009031088294290227j,0.999959218890561j,(-0.999959218890561+0j)
(-0.06988394768335553+0j),0.06988394768335553j,-0.997555128229107j,(-0.997555128229107+0j)
(-0.07654499968220468+0j),0.07654499968220468j,-0.9970661277085143j,(-0.9970661277085143+0j)
(-0.28978491739983797+0j),-0.28978491739983797j,0.9570917937416291j,(-0.9570917937416291+0j)
(-0.2177424496126825+0j),-0.2177424496126825j,0.9760062631134437j,(-0.9760062631134437+0j)
(-0.22243460005384402+0j),0.22243460005384402j,-0.974947613310011j,(-0.974947613310011+0j)
(-0.31299807340915764+0j),0.31299807340915764j,-0.9497537607412544j,(-0.9497537607412544+0j)
(-0.9554285373051189+0j),0.9554285373051189j,-0.29522247560611187j,(-0.29522247560611187+0j)
(-0.9476312018284527+0j),-0.9476312018284527j,0.31936672544453126j,(-0.31936672544453126+0j)
(-0.7441742826261822+0j),-0.7441742826261822j,0.667985506637537j,(-0.667985506637537+0j)
(-0.732995605690492+0j),-0.732995605690492j,0.6802333732171839j,(-0.6802333732171839+0j)
(-0.15934900824257758+0j),-0.15934900824257758j,0.987222312132433j,(-0.987222312132433+0j)
(-0.14808763586436863+0j),-0.14808763586436863j,0.9889742423865763j,(-0.9889742423865763+0j)
(-0.10159377854281432+0j),-0.10159377854281432j,0.9948259667707682j,(-0.9948259667707682+0j)
(-0.0939612486725457+0j),-0.0939612486725457j,0.9955758553459884j,(-0.9955758553459884+0j)
(-0.008503289297826021+0j),-0.008503289297826021j,0.9999638463820167j,(-0.9999638463820167+0j)
(-0.2643069029169841+0j),0.2643069029169841j,-0.9644386248333442j,(-0.9644386248333442+0j)
(-0.42586120628253676+0j),-0.42586120628253676j,0.9047885017967364j,(-0.9047885017967364+0j)
(-0.401645343734748+0j),-0.401645343734748j,0.9157952925497029j,(-0.9157952925497029+0j)
(-0.15442424226177026+0j),-0.15442424226177026j,0.9880046322775407j,(-0.9880046322775407+0j)
(-0.1409948411693899+0j),-0.1409948411693899j,0.9900103306347963j,(-0.9900103306347963+0j)
(-0.2554232752048413+0j),-0.2554232752048413j,0.9668293285185509j,(-0.9668293285185509+0j)
(-0.23587079243516096+0j),-0.23587079243516096j,0.9717844253104745j,(-0.9717844253104745+0j)
(-0.1988206253609255+0j),-0.1988206253609255j,0.9800358967563845j,(-0.9800358967563845+0j)
(-0.190499807768158+0j),-0.190499807768158j,0.9816872329007315j,(-0.9816872329007315+0j)
(-0.1834166942160056+0j),-0.1834166942160056j,0.9830352568869911j,(-0.9830352568869911+0j)
(-0.18303622160835498+0j),-0.18303622160835498j,0.983106170044384j,(-0.983106170044384+0j)
(-0.9030936249403424+0j),0.9030936249403424j,-0.4294437152783966j,(-0.4294437152783966+0j)
(-0.9205197677560373+0j),0.9205197677560373j,-0.3906959907272809j,(-0.3906959907272809+0j)
(-0.9895145083135629+0j),0.9895145083135629j,-0.1444335066283714j,(-0.1444335066283714+0j)
(-0.9963376453402304+0j),0.9963376453402304j,-0.08550611953471918j,(-0.08550611953471918+0j)
(-0.5995066188274125+0j),-0.5995066188274125j,0.8003697982696021j,(-0.8003697982696021+0j)
(-0.3573040028482178+0j),0.3573040028482178j,-0.9339881420813869j,(-0.9339881420813869+0j)
(-0.6958557671628288+0j),0.6958557671628288j,-0.7181815587344408j,(-0.7181815587344408+0j)
(-0.705153201128268+0j),0.705153201128268j,-0.7090549787841255j,(-0.7090549787841255+0j)
(-0.9106276970516276+0j),0.9106276970516276j,-0.413227779030463j,(-0.413227779030463+0j)
(-0.931788521581662+0j),0.931788521581662j,-0.36300158546301264j,(-0.36300158546301264+0j)
(-0.791064759770954+0j),0.791064759770954j,-0.6117324135997071j,(-0.6117324135997071+0j)
(-0.8088198473669549+0j),0.8088198473669549j,-0.5880565062179788j,(-0.5880565062179788+0j)
(-0.8490578274661698+0j),0.8490578274661698j,-0.5282999201385782j,(-0.5282999201385782+0j)
(-0.8594524530413277+0j),0.8594524530413277j,-0.5112156892753239j,(-0.5112156892753239+0j)
(-0.8687230010399491+0j),0.8687230010399491j,-0.49529824092575253j,(-0.49529824092575253+0j)
(-0.8692320509437998+0j),0.8692320509437998j,-0.494404330090297j,(-0.494404330090297+0j)
(-0.961367752383566+0j),0.961367752383566j,-0.27526722412406956j,(-0.27526722412406956+0j)
(-0.9690372891130971+0j),0.9690372891130971j,-0.24691442304640682j,(-0.24691442304640682+0j)
(-0.9997952672606267+0j),0.9997952672606267j,-0.020234217633808886j,(-0.020234217633808886+0j)
(-0.9987124181930312+0j),-0.9987124181930312j,0.050729732376862416j,(-0.050729732376862416+0j)
(-0.36321670181425864+0j),0.36321670181425864j,-0.9317046890099739j,(-0.9317046890099739+0j)
(-0.8005572242038603+0j),0.8005572242038603j,-0.5992563147560567j,(-0.5992563147560567+0j)
(-0.8897389867268295+0j),0.8897389867268295j,-0.4564696435671436j,(-0.4564696435671436+0j)
(-0.892463759796133+0j),0.892463759796133j,-0.45111909453109j,(-0.45111909453109+0j)
(-0.9646381764152131+0j),0.9646381764152131j,-0.2635776709099854j,(-0.2635776709099854+0j)
(-0.9741951332611715+0j),0.9741951332611715j,-0.22570742639587335j,(-0.22570742639587335+0j)
(-0.9192861431067342+0j),0.9192861431067342j,-0.39358987168364135j,(-0.39358987168364135+0j)
(-0.9252984985347809+0j),0.9252984985347809j,-0.3792396189868355j,(-0.3792396189868355+0j)
(-0.9397289621663841+0j),0.9397289621663841j,-0.3419202796935137j,(-0.3419202796935137+0j)
(-0.943667825952095+0j),0.943667825952095j,-0.3308942946967303j,(-0.3308942946967303+0j)
(-0.9472640759021406+0j),0.9472640759021406j,-0.32045400684850855j,(-0.32045400684850855+0j)
(-0.9474639259601967+0j),0.9474639259601967j,-0.3198626408383624j,(-0.3198626408383624+0j)
(-0.7343722056487707+0j),-0.7343722056487707j,0.6787469805240828j,(-0.6787469805240828+0j)
(-0.18962930837232345+0j),-0.18962930837232345j,0.9818557559062505j,(-0.9818557559062505+0j)
(-0.4946611125175518+0j),0.4946611125175518j,-0.8690859472819119j,(-0.8690859472819119+0j)
(-0.5209294545813745+0j),0.5209294545813745j,-0.8535997325149253j,(-0.8535997325149253+0j)
(-0.630882683404381+0j),0.630882683404381j,-0.7758782377283743j,(-0.7758782377283743+0j)
(-0.6832074816728658+0j),0.6832074816728658j,-0.7302243059404561j,(-0.7302243059404561+0j)
(-0.7462883624536636+0j),0.7462883624536636j,-0.6656227761023726j,(-0.6656227761023726+0j)
(-0.7503191354211317+0j),0.7503191354211317j,-0.6610757861402015j,(-0.6610757861402015+0j)
(-0.49550648406506625+0j),-0.49550648406506625j,0.8686042391385598j,(-0.8686042391385598+0j)
(-0.05976380908066871+0j),0.05976380908066871j,-0.9982125460663023j,(-0.9982125460663023+0j)
(-0.8113758919320265+0j),0.8113758919320265j,-0.5845247317192906j,(-0.5845247317192906+0j)
(-0.8341454021090045+0j),0.8341454021090045j,-0.5515446021315117j,(-0.5515446021315117+0j)
(-0.9166911104307139+0j),0.9166911104307139j,-0.3995965566134232j,(-0.3995965566134232+0j)
(-0.9476014057880983+0j),0.9476014057880983j,-0.3194551232151714j,(-0.3194551232151714+0j)
(-0.9764354072870529+0j),0.9764354072870529j,-0.21580985935810984j,(-0.21580985935810984+0j)
(-0.9779355442952978+0j),0.9779355442952978j,-0.20890684814974286j,(-0.20890684814974286+0j)
(-0.3686264279535889+0j),0.3686264279535889j,-0.9295776226944029j,(-0.9295776226944029+0j)
(-0.41057024532834+0j),0.41057024532834j,-0.9118289717107189j,(-0.9118289717107189+0j)
(-0.5415489108272756+0j),0.5415489108272756j,-0.8406692436278322j,(-0.8406692436278322+0j)
(-0.5579809186490439+0j),0.5579809186490439j,-0.829853778941549j,(-0.829853778941549+0j)
(-0.6837514215431721+0j),0.6837514215431721j,-0.7297150084366439j,(-0.7297150084366439+0j)
(-0.8228199387920514+0j),0.8228199387920514j,-0.5683021628731011j,(-0.5683021628731011+0j)
(-0.9720446413992795+0j),-0.9720446413992795j,0.23479611395196945j,(-0.23479611395196945+0j)
(-0.9467088713448776+0j),-0.9467088713448776j,0.32209053527992404j,(-0.32209053527992404+0j)
(-0.38755724735882296+0j),0.38755724735882296j,-0.9218456378481443j,(-0.9218456378481443+0j)
(-0.43464445121919576+0j),0.43464445121919576j,-0.900602132478246j,(-0.900602132478246+0j)
(-0.2238459550268212+0j),-0.2238459550268212j,0.9746245371516822j,(-0.9746245371516822+0j)
(-0.07030987990731671+0j),-0.07030987990731671j,0.9975251980714165j,(-0.9975251980714165+0j)
(-0.17839297477272978+0j),0.17839297477272978j,-0.983959321594006j,(-0.983959321594006+0j)
(-0.22471150618524138+0j),0.22471150618524138j,-0.9744253378212004j,(-0.9744253378212004+0j)
