(-0.3112450211930743+0j),0.3112450211930743j,-0.9503296989900519j,(-0.9503296989900519+0j)
(-0.7452863657942349+0j),0.7452863657942349j,-0.6667445035103191j,(-0.6667445035103191+0j)
(-0.9979662684878615+0j),0.9979662684878615j,-0.06374423080101986j,(-0.06374423080101986+0j)
(-0.9918100388245698+0j),-0.9918100388245698j,0.12772175573020284j,(-0.12772175573020284+0j)
(-0.7468044446397623+0j),0.7468044446397623j,-0.6650436989148129j,(-0.6650436989148129+0j)
(-0.858783902594071+0j),0.858783902594071j,-0.5123379828251047j,(-0.5123379828251047+0j)
(-0.07423070957377068+0j),0.07423070957377068j,-0.9972410950999637j,(-0.9972410950999637+0j)
(-0.37342661312544334+0j),0.37342661312544334j,-0.9276597245809806j,(-0.9276597245809806+0j)
(-0.9979832737129203+0j),0.9979832737129203j,-0.06347744000227515j,(-0.06347744000227515+0j)
(-0.9915500558328424+0j),-0.9915500558328424j,0.12972465755548315j,(-0.12972465755548315+0j)
(-0.932290030852925+0j),-0.932290030852925j,0.36171162321973105j,(-0.36171162321973105+0j)
(-0.8920501025263323+0j),-0.8920501025263323j,0.45193651609795826j,(-0.45193651609795826+0j)
(-0.9914531782507261+0j),-0.9914531782507261j,0.13046300370807815j,(-0.13046300370807815+0j)
(-0.9814847289333506+0j),-0.9814847289333506j,0.1915404053212466j,(-0.1915404053212466+0j)
(-0.9814385341358748+0j),0.9814385341358748j,-0.19177696345814152j,(-0.19177696345814152+0j)
(-0.999399004042719+0j),0.999399004042719j,-0.03466454555336644j,(-0.03466454555336644+0j)
(-0.7483186032939648+0j),0.7483186032939648j,-0.6633394816865416j,(-0.6633394816865416+0j)
(-0.859105681536586+0j),0.859105681536586j,-0.5117982297268704j,(-0.5117982297268704+0j)
(-0.0732326737916954+0j),0.0732326737916954j,-0.9973148828175179j,(-0.9973148828175179+0j)
(-0.3754578104979635+0j),0.3754578104979635j,-0.9268394858529041j,(-0.9268394858529041+0j)
(-0.8598762220486291+0j),0.8598762220486291j,-0.5105025785981663j,(-0.5105025785981663+0j)
(-0.9405223557801692+0j),0.9405223557801692j,-0.3397318034534316j,(-0.3397318034534316+0j)
(-0.7175052863774878+0j),0.7175052863774878j,-0.6965530590129938j,(-0.6965530590129938+0j)
(-0.7579348126157258+0j),0.7579348126157258j,-0.6523302996375109j,(-0.6523302996375109+0j)
(-0.0739438317945012+0j),0.0739438317945012j,-0.997262407663874j,(-0.997262407663874+0j)
(-0.3772617882531019+0j),0.3772617882531019j,-0.9261066586112379j,(-0.9261066586112379+0j)
(-0.5141281631368061+0j),0.5141281631368061j,-0.8577133739598408j,(-0.8577133739598408+0j)
(-0.5460448643855941+0j),0.5460448643855941j,-0.8377559346719773j,(-0.8377559346719773+0j)
(-0.37792265057540636+0j),0.37792265057540636j,-0.9258371726076132j,(-0.9258371726076132+0j)
(-0.42584286165320884+0j),0.42584286165320884j,-0.9047971359255101j,(-0.9047971359255101+0j)
(-0.44093659492564014+0j),-0.44093659492564014j,0.8975382550372892j,(-0.8975382550372892+0j)
(-0.14391290863077613+0j),0.14391290863077613j,-0.9895903570313477j,(-0.9895903570313477+0j)
