(-0.364331457160019+0j),0.364331457160019j,-0.931269343060136j,(-0.931269343060136+0j)
(-0.8466816193297851+0j),0.8466816193297851j,-0.5320998360167881j,(-0.5320998360167881+0j)
(-0.966101106691988+0j),-0.966101106691988j,0.25816400145743845j,(-0.25816400145743845+0j)
(-0.6837161913152846+0j),-0.6837161913152846j,0.7297480179714921j,(-0.7297480179714921+0j)
(-0.9770831906449562+0j),0.9770831906449562j,-0.21285778951936954j,(-0.21285778951936954+0j)
(-0.9866428034287472+0j),0.9866428034287472j,-0.16289867538523067j,(-0.16289867538523067+0j)
(-0.9571650661202666+0j),0.9571650661202666j,-0.28954280546921857j,(-0.28954280546921857+0j)
(-0.9688348264470046+0j),0.9688348264470046j,-0.24770764837485865j,(-0.24770764837485865+0j)
(-0.8363874111439249+0j),0.8363874111439249j,-0.5481387584179425j,(-0.5481387584179425+0j)
(-0.7574416768996199+0j),-0.7574416768996199j,0.6529028305157607j,(-0.6529028305157607+0j)
(-0.79300024054243+0j),0.79300024054243j,-0.6092213214420915j,(-0.6092213214420915+0j)
(-0.8076511083066246+0j),0.8076511083066246j,-0.5896606543182962j,(-0.5896606543182962+0j)
(-0.7535773927746627+0j),0.7535773927746627j,-0.6573591964055433j,(-0.6573591964055433+0j)
(-0.7621819809052609+0j),0.7621819809052609j,-0.6473628256112122j,(-0.6473628256112122+0j)
(-0.7333368034367631+0j),0.7333368034367631j,-0.6798655254718762j,(-0.6798655254718762+0j)
(-0.7457689071518592+0j),0.7457689071518592j,-0.666204726135684j,(-0.666204726135684+0j)
