(-0.35638465624598775+0j),0.35638465624598775j,-0.9343393263651217j,(-0.9343393263651217+0j)
(-0.7792388400593332+0j),0.7792388400593332j,-0.6267270778759965j,(-0.6267270778759965+0j)
(-0.9984731367253015+0j),0.9984731367253015j,-0.055239435532394736j,(-0.055239435532394736+0j)
(-0.996614860240106+0j),-0.996614860240106j,0.08221204503352447j,(-0.08221204503352447+0j)
(-0.7678099684215568+0j),0.7678099684215568j,-0.6406776509232143j,(-0.6406776509232143+0j)
(-0.8675598521687542+0j),0.8675598521687542j,-0.4973327888898232j,(-0.4973327888898232+0j)
(-0.1830835509930381+0j),0.1830835509930381j,-0.9830973570078294j,(-0.9830973570078294+0j)
(-0.3937356884650036+0j),0.3937356884650036j,-0.9192236983612802j,(-0.9192236983612802+0j)
(-0.9989113472133379+0j),0.9989113472133379j,-0.0466489057581689j,(-0.0466489057581689+0j)
(-0.9948728572150162+0j),-0.9948728572150162j,0.10113356503569976j,(-0.10113356503569976+0j)
(-0.9539958229507759+0j),-0.9539958229507759j,0.2998198955914566j,(-0.2998198955914566+0j)
(-0.9276383724078109+0j),-0.9276383724078109j,0.3734796514357744j,(-0.3734796514357744+0j)
(-0.995309338143222+0j),-0.995309338143222j,0.09674358585922634j,(-0.09674358585922634+0j)
(-0.9902167338858884+0j),-0.9902167338858884j,0.13953787991926694j,(-0.13953787991926694+0j)
(-0.9919981708723885+0j),0.9919981708723885j,-0.12625224348832675j,(-0.12625224348832675+0j)
(-0.9993779181342366+0j),0.9993779181342366j,-0.03526721913731227j,(-0.03526721913731227+0j)
(-0.7569413967027014+0j),0.7569413967027014j,-0.6534827633210869j,(-0.6534827633210869+0j)
(-0.8407897015657119+0j),0.8407897015657119j,-0.5413618731874654j,(-0.5413618731874654+0j)
(-0.20916595205733585+0j),0.20916595205733585j,-0.977880158557248j,(-0.977880158557248+0j)
(-0.40403244780715725+0j),0.40403244780715725j,-0.9147446535066257j,(-0.9147446535066257+0j)
(-0.8557462975095547+0j),0.8557462975095547j,-0.5173956651332602j,(-0.5173956651332602+0j)
(-0.8936040192041174+0j),0.8936040192041174j,-0.44885616500416675j,(-0.44885616500416675+0j)
(-0.7311320208396968+0j),0.7311320208396968j,-0.682236006161256j,(-0.682236006161256+0j)
(-0.765921363644372+0j),0.765921363644372j,-0.6429342615797867j,(-0.6429342615797867+0j)
(-0.2162693664373699+0j),0.2162693664373699j,-0.9763337345092501j,(-0.9763337345092501+0j)
(-0.39768701592202027+0j),0.39768701592202027j,-0.9175211372862421j,(-0.9175211372862421+0j)
(-0.5168654482882614+0j),0.5168654482882614j,-0.856066649488096j,(-0.856066649488096+0j)
(-0.5452262987184467+0j),0.5452262987184467j,-0.8382889019817591j,(-0.8382889019817591+0j)
(-0.38648075317163055+0j),0.38648075317163055j,-0.9222974723091728j,(-0.9222974723091728+0j)
(-0.4260313134790809+0j),0.4260313134790809j,-0.9047084170799393j,(-0.9047084170799393+0j)
(-0.1272641986661478+0j),0.1272641986661478j,-0.9918688541021253j,(-0.9918688541021253+0j)
(-0.20705029152694301+0j),0.20705029152694301j,-0.9783303004500106j,(-0.9783303004500106+0j)
(-0.9993424573539977+0j),0.9993424573539977j,-0.03625814294297941j,(-0.03625814294297941+0j)
(-0.9925191378649135+0j),-0.9925191378649135j,0.12208915173711786j,(-0.12208915173711786+0j)
(-0.9439209770838237+0j),-0.9439209770838237j,0.33017145397674774j,(-0.33017145397674774+0j)
(-0.9197602565124671+0j),-0.9197602565124671j,0.3924806626320857j,(-0.3924806626320857+0j)
(-0.993126209960078+0j),-0.993126209960078j,0.11704841344645069j,(-0.11704841344645069+0j)
(-0.9863140895264886+0j),-0.9863140895264886j,0.16487727800256166j,(-0.16487727800256166+0j)
(-0.9940121170235392+0j),0.9940121170235392j,-0.10926990075213736j,(-0.10926990075213736+0j)
(-0.999670705752667+0j),0.999670705752667j,-0.025660866313605344j,(-0.025660866313605344+0j)
(-0.9424471525283324+0j),-0.9424471525283324j,0.33435514754709295j,(-0.33435514754709295+0j)
(-0.9134174152145391+0j),-0.9134174152145391j,0.4070241093384892j,(-0.4070241093384892+0j)
(-0.8553995350051922+0j),-0.8553995350051922j,0.5179687592055155j,(-0.5179687592055155+0j)
(-0.8312332622336099+0j),-0.8312332622336099j,0.5559237931195882j,(-0.5559237931195882+0j)
