(-0.337294844533171+0j),0.337294844533171j,-0.9413990587690982j,(-0.9413990587690982+0j)
(-0.7604156026661846+0j),0.7604156026661846j,-0.649436764605934j,(-0.649436764605934+0j)
(-0.9984029747665824+0j),0.9984029747665824j,-0.0564933622405278j,(-0.0564933622405278+0j)
(-0.9935372058785935+0j),-0.9935372058785935j,0.11350691844534212j,(-0.11350691844534212+0j)
(-0.7499914605173155+0j),0.7499914605173155j,-0.6614475105033688j,(-0.6614475105033688+0j)
(-0.8467754637953979+0j),0.8467754637953979j,-0.5319504806973002j,(-0.5319504806973002+0j)
(-0.134379568359759+0j),0.134379568359759j,-0.9909299327437057j,(-0.9909299327437057+0j)
(-0.3808522021617059+0j),0.3808522021617059j,-0.924635928411058j,(-0.924635928411058+0j)
