(-0.9998767486882953+0j),0.9998767486882953j,-0.015699918233020985j,(-0.015699918233020985+0j)
(-0.9665269389827368+0j),-0.9665269389827368j,0.25656515005094005j,(-0.25656515005094005+0j)
(-0.28172677416942576+0j),0.28172677416942576j,-0.9594946715412699j,(-0.9594946715412699+0j)
(-0.5389775832054873+0j),0.5389775832054873j,-0.8423201082735542j,(-0.8423201082735542+0j)
(-0.9578471158269736+0j),-0.9578471158269736j,0.2872784410671093j,(-0.2872784410671093+0j)
(-0.883747306406573+0j),-0.883747306406573j,0.4679644200354629j,(-0.4679644200354629+0j)
(-0.9961031943525954+0j),0.9961031943525954j,-0.08819538650380544j,(-0.08819538650380544+0j)
(-0.9999637252058743+0j),-0.9999637252058743j,0.008517527363668087j,(-0.008517527363668087+0j)
(-0.29697710086771034+0j),0.29697710086771034j,-0.9548846011745136j,(-0.9548846011745136+0j)
(-0.5452584982943273+0j),0.5452584982943273j,-0.8382679583747761j,(-0.8382679583747761+0j)
(-0.7537880571904214+0j),0.7537880571904214j,-0.6571176187236878j,(-0.6571176187236878+0j)
(-0.8025022270767146+0j),0.8025022270767146j,-0.5966491226314787j,(-0.5966491226314787+0j)
(-0.5321190786708521+0j),0.5321190786708521j,-0.846669525915799j,(-0.846669525915799+0j)
(-0.593669841486645+0j),0.593669841486645j,-0.8047087170580556j,(-0.8047087170580556+0j)
(-0.15154618046123586+0j),0.15154618046123586j,-0.9884501784043597j,(-0.9884501784043597+0j)
(-0.30658117536604484+0j),0.30658117536604484j,-0.9518445161428282j,(-0.9518445161428282+0j)
(-0.9484523175391594+0j),-0.9484523175391594j,0.31691986582509735j,(-0.31691986582509735+0j)
(-0.8990753115615083+0j),-0.8990753115615083j,0.43779399737842073j,(-0.43779399737842073+0j)
(-0.9970558051775849+0j),0.9970558051775849j,-0.076679341166172j,(-0.076679341166172+0j)
(-0.999807978744471+0j),-0.999807978744471j,0.01959606182108057j,(-0.01959606182108057+0j)
(-0.8667530548212757+0j),-0.8667530548212757j,0.498737548173372j,(-0.498737548173372+0j)
(-0.845384729248321+0j),-0.845384729248321j,0.5341578975862318j,(-0.5341578975862318+0j)
(-0.9592567565514862+0j),-0.9592567565514862j,0.282535794210792j,(-0.282535794210792+0j)
(-0.9435178159257458+0j),-0.9435178159257458j,0.3313217937756446j,(-0.3313217937756446+0j)
(-0.9974273469304934+0j),0.9974273469304934j,-0.07168463988329395j,(-0.07168463988329395+0j)
(-0.9998048613373344+0j),-0.9998048613373344j,0.019754474081424386j,(-0.019754474081424386+0j)
(-0.9958616476989562+0j),-0.9958616476989562j,0.09088222401724305j,(-0.09088222401724305+0j)
(-0.9939637076404346+0j),-0.9939637076404346j,0.10970937924207097j,(-0.10970937924207097+0j)
(-0.9998922834780666+0j),-0.9998922834780666j,0.014677242282447617j,(-0.014677242282447617+0j)
(-0.9993588229623331+0j),-0.9993588229623331j,0.03580423113739616j,(-0.03580423113739616+0j)
(-0.992704759082301+0j),0.992704759082301j,-0.12057056562590622j,(-0.12057056562590622+0j)
(-0.9974137873983011+0j),0.9974137873983011j,-0.07187305968008208j,(-0.07187305968008208+0j)
(-0.313200557932809+0j),0.313200557932809j,-0.9496870066030056j,(-0.9496870066030056+0j)
(-0.5516558807838055+0j),0.5516558807838055j,-0.834071812973346j,(-0.834071812973346+0j)
(-0.7442720963659257+0j),0.7442720963659257j,-0.6678765204519995j,(-0.6678765204519995+0j)
(-0.786073864205317+0j),0.786073864205317j,-0.6181325747874163j,(-0.6181325747874163+0j)
(-0.5392755521341849+0j),0.5392755521341849j,-0.842129371813126j,(-0.842129371813126+0j)
(-0.5983177411060545+0j),0.5983177411060545j,-0.8012589348504943j,(-0.8012589348504943+0j)
(-0.1941178628076361+0j),0.1941178628076361j,-0.9809782134884526j,(-0.9809782134884526+0j)
(-0.3205778415207679+0j),0.3205778415207679j,-0.9472221743212548j,(-0.9472221743212548+0j)
(-0.7472195725398941+0j),0.7472195725398941j,-0.6645772418713252j,(-0.6645772418713252+0j)
(-0.7927953204919909+0j),0.7927953204919909j,-0.6094879652675692j,(-0.6094879652675692+0j)
(-0.8499480398733035+0j),0.8499480398733035j,-0.5268665196380669j,(-0.5268665196380669+0j)
(-0.8684722612012079+0j),0.8684722612012079j,-0.49573776487580734j,(-0.49573776487580734+0j)
(-0.7916952609474222+0j),0.7916952609474222j,-0.6109162084880325j,(-0.6109162084880325+0j)
(-0.8043884099149857+0j),0.8043884099149857j,-0.5941037670259642j,(-0.5941037670259642+0j)
(-0.7231054357245273+0j),0.7231054357245273j,-0.6907376700496661j,(-0.6907376700496661+0j)
(-0.7507292296775281+0j),0.7507292296775281j,-0.6606100390607044j,(-0.6606100390607044+0j)
(-0.5263519636231406+0j),0.5263519636231406j,-0.850266787773146j,(-0.850266787773146+0j)
(-0.5788975920804045+0j),0.5788975920804045j,-0.8154002562444471j,(-0.8154002562444471+0j)
(-0.2115722161383703+0j),0.2115722161383703j,-0.9773623674760038j,(-0.9773623674760038+0j)
(-0.31600693316079087+0j),0.31600693316079087j,-0.9487568804463615j,(-0.9487568804463615+0j)
(-0.5872132166968395+0j),0.5872132166968395j,-0.809432293732188j,(-0.809432293732188+0j)
(-0.6154739564392807+0j),0.6154739564392807j,-0.7881572234934971j,(-0.7881572234934971+0j)
(-0.5115382024398523+0j),0.5115382024398523j,-0.8592605352537755j,(-0.8592605352537755+0j)
(-0.5312493669158305+0j),0.5312493669158305j,-0.8472155039607864j,(-0.8472155039607864+0j)
(-0.20121170003262587+0j),0.20121170003262587j,-0.9795477792175228j,(-0.9795477792175228+0j)
(-0.30286243979807453+0j),0.30286243979807453j,-0.9530342819434974j,(-0.9530342819434974+0j)
(-0.3832462017341162+0j),0.3832462017341162j,-0.9236462249456625j,(-0.9236462249456625+0j)
(-0.4014392574283321+0j),0.4014392574283321j,-0.9158856493009317j,(-0.9158856493009317+0j)
(-0.29189357305460945+0j),0.29189357305460945j,-0.9564508048035789j,(-0.9564508048035789+0j)
(-0.3214649342708221+0j),0.3214649342708221j,-0.9469214835635826j,(-0.9469214835635826+0j)
(-0.3744354701819881+0j),0.3744354701819881j,-0.9272529744733061j,(-0.9272529744733061+0j)
(-0.15964823451258642+0j),0.15964823451258642j,-0.9871739670478625j,(-0.9871739670478625+0j)
(-0.9385215147653855+0j),-0.9385215147653855j,0.34522075013313813j,(-0.34522075013313813+0j)
(-0.9050994623571679+0j),-0.9050994623571679j,0.4251999097374854j,(-0.4251999097374854+0j)
(-0.9979739860223206+0j),0.9979739860223206j,-0.06362329151121678j,(-0.06362329151121678+0j)
(-0.9994679680133908+0j),-0.9994679680133908j,0.0326156544497259j,(-0.0326156544497259+0j)
(-0.8831399872753136+0j),-0.8831399872753136j,0.46910954251151066j,(-0.46910954251151066+0j)
(-0.8961393947263872+0j),-0.8961393947263872j,0.4437726729074524j,(-0.4437726729074524+0j)
(-0.9494290357068521+0j),-0.9494290357068521j,0.31398169716841323j,(-0.31398169716841323+0j)
(-0.9337064585473522+0j),-0.9337064585473522j,0.35803945210962707j,(-0.35803945210962707+0j)
(-0.9982359378696292+0j),0.9982359378696292j,-0.059371814403317326j,(-0.059371814403317326+0j)
(-0.9994771025732054+0j),-0.9994771025732054j,0.03233452383862456j,(-0.03233452383862456+0j)
