(-0.9999631499706171+0j),0.9999631499706171j,-0.008584794746617485j,(-0.008584794746617485+0j)
(-0.9453191360276377+0j),-0.9453191360276377j,0.3261467937293893j,(-0.3261467937293893+0j)
(-0.24156283355537786+0j),0.24156283355537786j,-0.9703851799387174j,(-0.9703851799387174+0j)
(-0.5263624339218348+0j),0.5263624339218348j,-0.850260306115652j,(-0.850260306115652+0j)
(-0.9351783366250749+0j),-0.9351783366250749j,0.35417718546958726j,(-0.35417718546958726+0j)
(-0.844975925735131+0j),-0.844975925735131j,0.5348043426600596j,(-0.5348043426600596+0j)
(-0.9950996868904634+0j),0.9950996868904634j,-0.09887675738262211j,(-0.09887675738262211+0j)
(-0.9997641558552504+0j),-0.9997641558552504j,0.02171710540193361j,(-0.02171710540193361+0j)
(-0.25945938889216774+0j),0.25945938889216774j,-0.965754019155863j,(-0.965754019155863+0j)
(-0.5350900614653294+0j),0.5350900614653294j,-0.8447950201800611j,(-0.8447950201800611+0j)
(-0.7354320187922252+0j),0.7354320187922252j,-0.6775985136754598j,(-0.6775985136754598+0j)
(-0.7818996396350689+0j),0.7818996396350689j,-0.6234043258901477j,(-0.6234043258901477+0j)
(-0.5228873012096971+0j),0.5228873012096971j,-0.8524018243960061j,(-0.8524018243960061+0j)
(-0.5838556131967283+0j),0.5838556131967283j,-0.8118575139386668j,(-0.8118575139386668+0j)
(-0.0625773173986436+0j),0.0625773173986436j,-0.9980401191070375j,(-0.9980401191070375+0j)
(-0.27544213456446964+0j),0.27544213456446964j,-0.9613176532793772j,(-0.9613176532793772+0j)
