(-0.3670385262006523+0j),0.3670385262006523j,-0.9302057408361084j,(-0.9302057408361084+0j)
(-0.7892056268377154+0j),0.7892056268377154j,-0.6141290406483709j,(-0.6141290406483709+0j)
(-0.9984809998647303+0j),0.9984809998647303j,-0.05509712251223722j,(-0.05509712251223722+0j)
(-0.9976947658406202+0j),-0.9976947658406202j,0.06786128656480085j,(-0.06786128656480085+0j)
(-0.7774009720202985+0j),0.7774009720202985j,-0.629005348706905j,(-0.629005348706905+0j)
(-0.8775579993254636+0j),0.8775579993254636j,-0.4794704973404407j,(-0.4794704973404407+0j)
(-0.20668790155864225+0j),0.20668790155864225j,-0.9784069252357556j,(-0.9784069252357556+0j)
(-0.4015517893145724+0j),0.4015517893145724j,-0.91583631752528j,(-0.91583631752528+0j)
(-0.9988809203766118+0j),0.9988809203766118j,-0.04729595022381224j,(-0.04729595022381224+0j)
(-0.9963496479161909+0j),-0.9963496479161909j,0.0853661472557058j,(-0.0853661472557058+0j)
(-0.9636510902974119+0j),-0.9636510902974119j,0.2671639499794264j,(-0.2671639499794264+0j)
(-0.941274997831183+0j),-0.941274997831183j,0.33764090163649674j,(-0.33764090163649674+0j)
(-0.9966653791045175+0j),-0.9966653791045175j,0.08159731671108347j,(-0.08159731671108347+0j)
(-0.9927752117497115+0j),-0.9927752117497115j,0.11998907840014275j,(-0.11998907840014275+0j)
(-0.9927964512019097+0j),0.9927964512019097j,-0.11981321496769047j,(-0.11981321496769047+0j)
(-0.9993210584738172+0j),0.9993210584738172j,-0.036843209561188486j,(-0.036843209561188486+0j)
(-0.7660587042521435+0j),0.7660587042521435j,-0.6427706135469534j,(-0.6427706135469534+0j)
(-0.8511912208651732+0j),0.8511912208651732j,-0.5248556997137938j,(-0.5248556997137938+0j)
(-0.23041572474957422+0j),0.23041572474957422j,-0.9730922843122992j,(-0.9730922843122992+0j)
(-0.4107630796027664+0j),0.4107630796027664j,-0.9117421194807508j,(-0.9117421194807508+0j)
(-0.8660635039990857+0j),0.8660635039990857j,-0.49993400268518035j,(-0.49993400268518035+0j)
(-0.9027534664123394+0j),0.9027534664123394j,-0.43015831839045665j,(-0.43015831839045665+0j)
(-0.7394539392717291+0j),0.7394539392717291j,-0.6732071536277092j,(-0.6732071536277092+0j)
(-0.7752829112622948+0j),0.7752829112622948j,-0.6316141286455369j,(-0.6316141286455369+0j)
(-0.23636765037394067+0j),0.23636765037394067j,-0.9716636938039327j,(-0.9716636938039327+0j)
(-0.4042417265022184+0j),0.4042417265022184j,-0.9146521888425707j,(-0.9146521888425707+0j)
(-0.5205984940157572+0j),0.5205984940157572j,-0.8538016210036884j,(-0.8538016210036884+0j)
(-0.5489934165648694+0j),0.5489934165648694j,-0.8358266737598362j,(-0.8358266737598362+0j)
(-0.39339980330666285+0j),0.39339980330666285j,-0.919367497118687j,(-0.919367497118687+0j)
(-0.4314334168471377+0j),0.4314334168471377j,-0.9021447815221257j,(-0.9021447815221257+0j)
(-0.16535996198190256+0j),0.16535996198190256j,-0.9862332801996411j,(-0.9862332801996411+0j)
(-0.22674943973221326+0j),0.22674943973221326j,-0.9739531259671216j,(-0.9739531259671216+0j)
(-0.9992836747407733+0j),0.9992836747407733j,-0.03784359122198596j,(-0.03784359122198596+0j)
(-0.9944885693453666+0j),-0.9944885693453666j,0.10484505444419422j,(-0.10484505444419422+0j)
(-0.9544712736673191+0j),-0.9544712736673191j,0.2983028456851959j,(-0.2983028456851959+0j)
(-0.9333234829510326+0j),-0.9333234829510326j,0.3590365944749276j,(-0.3590365944749276+0j)
(-0.9949425549513469+0j),-0.9949425549513469j,0.10044556907542757j,(-0.10044556907542757+0j)
(-0.9896066153604782+0j),-0.9896066153604782j,0.1438010668763578j,(-0.1438010668763578+0j)
(-0.9945414565412624+0j),0.9945414565412624j,-0.10434218332383437j,(-0.10434218332383437+0j)
(-0.9996051793734129+0j),0.9996051793734129j,-0.028097782294108368j,(-0.028097782294108368+0j)
(-0.9531976118383232+0j),-0.9531976118383232j,0.30234799947364893j,(-0.30234799947364893+0j)
(-0.9275526739522941+0j),-0.9275526739522941j,0.37369243642860794j,(-0.37369243642860794+0j)
(-0.8730012777187445+0j),-0.8730012777187445j,0.4877179196025502j,(-0.4877179196025502+0j)
(-0.8493069419834074+0j),-0.8493069419834074j,0.5278993448554308j,(-0.5278993448554308+0j)
(-0.9278078914654346+0j),-0.9278078914654346j,0.3730583285954952j,(-0.3730583285954952+0j)
(-0.9186067636427985+0j),-0.9186067636427985j,0.3951728910106361j,(-0.3951728910106361+0j)
(-0.963443555845593+0j),-0.963443555845593j,0.2679113933740027j,(-0.2679113933740027+0j)
(-0.951169451222054+0j),-0.951169451222054j,0.3086692000539359j,(-0.3086692000539359+0j)
(-0.9953726811394744+0j),-0.9953726811394744j,0.09608967499796438j,(-0.09608967499796438+0j)
(-0.9913504421675247+0j),-0.9913504421675247j,0.13124138377148145j,(-0.13124138377148145+0j)
(-0.9955619955607542+0j),0.9955619955607542j,-0.09410798581995594j,(-0.09410798581995594+0j)
(-0.9996420733713934+0j),0.9996420733713934j,-0.02675303993458793j,(-0.02675303993458793+0j)
(-0.9903246897458441+0j),-0.9903246897458441j,0.13876962520594247j,(-0.13876962520594247+0j)
(-0.9874759962746307+0j),-0.9874759962746307j,0.15776931508194475j,(-0.15776931508194475+0j)
(-0.9962697161441066+0j),-0.9962697161441066j,0.08629398990741687j,(-0.08629398990741687+0j)
(-0.9950288621627759+0j),-0.9950288621627759j,0.09958696432290715j,(-0.09958696432290715+0j)
(-0.9955403958714534+0j),0.9955403958714534j,-0.09433620825595082j,(-0.09433620825595082+0j)
(-0.9995281702519456+0j),0.9995281702519456j,-0.03071541750974609j,(-0.03071541750974609+0j)
(-0.9999336511097198+0j),-0.9999336511097198j,0.011519261190950134j,(-0.011519261190950134+0j)
(-0.9997722558809956+0j),-0.9997722558809956j,0.02134095524162738j,(-0.02134095524162738+0j)
(-0.9993739512538949+0j),0.9993739512538949j,-0.0353794510299081j,(-0.0353794510299081+0j)
(-0.9997870727911798+0j),0.9997870727911798j,-0.02063514186149736j,(-0.02063514186149736+0j)
(-0.9972755831133263+0j),0.9972755831133263j,-0.07376592252507158j,(-0.07376592252507158+0j)
(-0.9944260723623314+0j),0.9944260723623314j,-0.10543617313819542j,(-0.10543617313819542+0j)
(-0.7552790151607399+0j),0.7552790151607399j,-0.6554033942983686j,(-0.6554033942983686+0j)
(-0.8256540919789942+0j),0.8256540919789942j,-0.5641766748088253j,(-0.5641766748088253+0j)
(-0.25411863881409774+0j),0.25411863881409774j,-0.9671730545291625j,(-0.9671730545291625+0j)
(-0.42098617189331233+0j),0.42098617189331233j,-0.9070670554455248j,(-0.9070670554455248+0j)
(-0.8394848521529203+0j),0.8394848521529203j,-0.5433830904672959j,(-0.5433830904672959+0j)
(-0.8675171570176713+0j),0.8675171570176713j,-0.49740725997916135j,(-0.49740725997916135+0j)
(-0.7322234356775331+0j),0.7322234356775331j,-0.6810644905180343j,(-0.6810644905180343+0j)
(-0.7633294547111235+0j),0.7633294547111235j,-0.6460093989799368j,(-0.6460093989799368+0j)
(-0.2582701909215805+0j),0.2582701909215805j,-0.96607272421973j,(-0.96607272421973+0j)
(-0.4144090895810877+0j),0.4144090895810877j,-0.9100907133206966j,(-0.9100907133206966+0j)
(-0.5287932604920689+0j),0.5287932604920689j,-0.8487506628322403j,(-0.8487506628322403+0j)
(-0.5563686090420378+0j),0.5563686090420378j,-0.830935599714339j,(-0.830935599714339+0j)
(-0.40370650152714777+0j),0.40370650152714777j,-0.9148885509310472j,(-0.9148885509310472+0j)
(-0.44112301946313476+0j),0.44112301946313476j,-0.8974466456005765j,(-0.8974466456005765+0j)
(-0.2207039931101281+0j),0.2207039931101281j,-0.9753408365413829j,(-0.9753408365413829+0j)
(-0.24718742501885682+0j),0.24718742501885682j,-0.9689676862065872j,(-0.9689676862065872+0j)
(-0.854294933712278+0j),0.854294933712278j,-0.519788578398501j,(-0.519788578398501+0j)
(-0.8749648699390181+0j),0.8749648699390181j,-0.4841864066375648j,(-0.4841864066375648+0j)
(-0.7356346300546154+0j),0.7356346300546154j,-0.67737854340421j,(-0.67737854340421+0j)
(-0.7669678246664625+0j),0.7669678246664625j,-0.6416855584524204j,(-0.6416855584524204+0j)
(-0.8925078007280691+0j),0.8925078007280691j,-0.45103195633962057j,(-0.45103195633962057+0j)
(-0.8668107612249395+0j),0.8668107612249395j,-0.4986372471292542j,(-0.4986372471292542+0j)
(-0.8451510007987254+0j),0.8451510007987254j,-0.5345276287049278j,(-0.5345276287049278+0j)
(-0.858370066439237+0j),0.858370066439237j,-0.5130310215192645j,(-0.5130310215192645+0j)
(-0.7372953016728415+0j),0.7372953016728415j,-0.6755706018849206j,(-0.6755706018849206+0j)
(-0.7673277242666331+0j),0.7673277242666331j,-0.6412551470138776j,(-0.6412551470138776+0j)
(-0.7895612530744027+0j),0.7895612530744027j,-0.6136717588773162j,(-0.6136717588773162+0j)
(-0.7953179925678452+0j),0.7953179925678452j,-0.6061924535144372j,(-0.6061924535144372+0j)
(-0.7658441278876518+0j),0.7658441278876518j,-0.6430262605679509j,(-0.6430262605679509+0j)
(-0.7725002534678426+0j),0.7725002534678426j,-0.6350144552623345j,(-0.6350144552623345+0j)
(-0.7178692851424705+0j),0.7178692851424705j,-0.6961779150828031j,(-0.6961779150828031+0j)
(-0.7377292739257968+0j),0.7377292739257968j,-0.6750966733682789j,(-0.6750966733682789+0j)
(-0.26053384352511777+0j),0.26053384352511777j,-0.9654647152423695j,(-0.9654647152423695+0j)
(-0.407588165160258+0j),0.407588165160258j,-0.9131658598640745j,(-0.9131658598640745+0j)
(-0.5170323001406315+0j),0.5170323001406315j,-0.8559658875278197j,(-0.8559658875278197+0j)
(-0.5421901585082293+0j),0.5421901585082293j,-0.8402558134382774j,(-0.8402558134382774+0j)
(-0.3973605639074836+0j),0.3973605639074836j,-0.917662564481698j,(-0.917662564481698+0j)
(-0.4337097656856303+0j),0.4337097656856303j,-0.9010526284013137j,(-0.9010526284013137+0j)
(-0.24170358612828272+0j),0.24170358612828272j,-0.970350130856243j,(-0.970350130856243+0j)
(-0.2491554865254982+0j),0.2491554865254982j,-0.9684634962321722j,(-0.9684634962321722+0j)
(-0.5186023160438608+0j),0.5186023160438608j,-0.8550155775153712j,(-0.8550155775153712+0j)
(-0.5458423014650983+0j),0.5458423014650983j,-0.8378879292192273j,(-0.8378879292192273+0j)
(-0.5822832486683286+0j),0.5822832486683286j,-0.812985989006119j,(-0.812985989006119+0j)
(-0.5953356204582425+0j),0.5953356204582425j,-0.8034771303612813j,(-0.8034771303612813+0j)
(-0.5450984600587837+0j),0.5450984600587837j,-0.838372034863725j,(-0.838372034863725+0j)
(-0.5529589776711615+0j),0.5529589776711615j,-0.8332084787211806j,(-0.8332084787211806+0j)
(-0.5040588567221844+0j),0.5040588567221844j,-0.8636693053246274j,(-0.8636693053246274+0j)
(-0.5206613001485464+0j),0.5206613001485464j,-0.8537633223134065j,(-0.8537633223134065+0j)
