(-0.9997840146027546+0j),0.9997840146027546j,-0.02078278481819677j,(-0.02078278481819677+0j)
(-0.974956675893542+0j),-0.974956675893542j,0.2223948743353033j,(-0.2223948743353033+0j)
(-0.29057440447177973+0j),0.29057440447177973j,-0.9568524000418616j,(-0.9568524000418616+0j)
(-0.5406116696546969+0j),0.5406116696546969j,-0.8412722642718948j,(-0.8412722642718948+0j)
(-0.9673974688528185+0j),-0.9673974688528185j,0.2532629804317243j,(-0.2532629804317243+0j)
(-0.9033966028789656+0j),-0.9033966028789656j,0.42880599098746797j,(-0.42880599098746797+0j)
(-0.9962092546178374+0j),0.9962092546178374j,-0.08698920055830506j,(-0.08698920055830506+0j)
(-0.9999983369899899+0j),-0.9999983369899899j,0.0018237371671619767j,(-0.0018237371671619767+0j)
(-0.3038587861447042+0j),0.3038587861447042j,-0.9527170818677846j,(-0.9527170818677846+0j)
(-0.5469579168997423+0j),0.5469579168997423j,-0.837160102453942j,(-0.837160102453942+0j)
(-0.7615151533725164+0j),0.7615151533725164j,-0.6481471061294903j,(-0.6481471061294903+0j)
(-0.8117115205671153+0j),0.8117115205671153j,-0.584058565024623j,(-0.584058565024623+0j)
(-0.5340619850072225+0j),0.5340619850072225j,-0.845445324175458j,(-0.845445324175458+0j)
(-0.5967036513565864+0j),0.5967036513565864j,-0.8024616828595104j,(-0.8024616828595104+0j)
(-0.16015451995936258+0j),0.16015451995936258j,-0.9870919560692337j,(-0.9870919560692337+0j)
(-0.31396089722013426+0j),0.31396089722013426j,-0.9494359141178138j,(-0.9494359141178138+0j)
(-0.9589364204574349+0j),-0.9589364204574349j,0.2836211231912776j,(-0.2836211231912776+0j)
(-0.9157186122730253+0j),-0.9157186122730253j,0.4018201377939698j,(-0.4018201377939698+0j)
(-0.9970109787185228+0j),0.9970109787185228j,-0.07726000462550744j,(-0.07726000462550744+0j)
(-0.9999314643363926+0j),-0.9999314643363926j,0.011707545860596923j,(-0.011707545860596923+0j)
(-0.8850839355343417+0j),-0.8850839355343417j,0.46543144184620955j,(-0.46543144184620955+0j)
(-0.8657929849458109+0j),-0.8657929849458109j,0.5004023453368529j,(-0.5004023453368529+0j)
(-0.967999095583776+0j),-0.967999095583776j,0.2509536828759282j,(-0.2509536828759282+0j)
(-0.9546453204846348+0j),-0.9546453204846348j,0.29774538128540173j,(-0.29774538128540173+0j)
(-0.9973591807313942+0j),0.9973591807313942j,-0.07262688628051085j,(-0.07262688628051085+0j)
(-0.9999243617639272+0j),-0.9999243617639272j,0.012299217495565387j,(-0.012299217495565387+0j)
(-0.9970761082336198+0j),-0.9970761082336198j,0.0764148832996484j,(-0.0764148832996484+0j)
(-0.9956276525949473+0j),-0.9956276525949473j,0.09341079909879295j,(-0.09341079909879295+0j)
(-0.9999684609954981+0j),-0.9999684609954981j,0.007942103896028733j,(-0.007942103896028733+0j)
(-0.9996350542642822+0j),-0.9996350542642822j,0.027014038684458876j,(-0.027014038684458876+0j)
(-0.9917916392932533+0j),0.9917916392932533j,-0.12786455422829807j,(-0.12786455422829807+0j)
(-0.9974304031506462+0j),0.9974304031506462j,-0.07164210264041483j,(-0.07164210264041483+0j)
(-0.31817230774073096+0j),0.31817230774073096j,-0.9480329016373524j,(-0.9480329016373524+0j)
(-0.553443374110434+0j),0.553443374110434j,-0.8328868060266402j,(-0.8328868060266402+0j)
(-0.7521965519902085+0j),0.7521965519902085j,-0.6589388038156819j,(-0.6589388038156819+0j)
(-0.7955333773356482+0j),0.7955333773356482j,-0.6059097668340866j,(-0.6059097668340866+0j)
(-0.5412378453653384+0j),0.5412378453653384j,-0.8408695468051428j,(-0.8408695468051428+0j)
(-0.6015515784598713+0j),0.6015515784598713j,-0.7988339617545297j,(-0.7988339617545297+0j)
(-0.19862008526145467+0j),0.19862008526145467j,-0.9800765591170584j,(-0.9800765591170584+0j)
(-0.32625877898331385+0j),0.32625877898331385j,-0.9452804923070808j,(-0.9452804923070808+0j)
(-0.7550517266474983+0j),0.7550517266474983j,-0.6556652271446393j,(-0.6556652271446393+0j)
(-0.8023450588165573+0j),0.8023450588165573j,-0.5968604582250825j,(-0.5968604582250825+0j)
(-0.8602812785700318+0j),0.8602812785700318j,-0.5098196953256237j,(-0.5098196953256237+0j)
(-0.8787483863136927+0j),0.8787483863136927j,-0.4772853167143122j,(-0.4772853167143122+0j)
(-0.8012911266889854+0j),0.8012911266889854j,-0.5982746278169387j,(-0.5982746278169387+0j)
(-0.8143219365527369+0j),0.8143219365527369j,-0.5804134592245431j,(-0.5804134592245431+0j)
(-0.7287043885484692+0j),0.7287043885484692j,-0.6848283829618934j,(-0.6848283829618934+0j)
(-0.7589704858408315+0j),0.7589704858408315j,-0.651125027642566j,(-0.651125027642566+0j)
(-0.5285820416736404+0j),0.5285820416736404j,-0.8488822210531481j,(-0.8488822210531481+0j)
(-0.5821114383678394+0j),0.5821114383678394j,-0.8131090168737062j,(-0.8131090168737062+0j)
(-0.2160756271011132+0j),0.2160756271011132j,-0.9763766298784813j,(-0.9763766298784813+0j)
(-0.32243410993293825+0j),0.32243410993293825j,-0.9465919103561756j,(-0.9465919103561756+0j)
(-0.5904979335653174+0j),0.5904979335653174j,-0.8070391505094967j,(-0.8070391505094967+0j)
(-0.6200496867728206+0j),0.6200496867728206j,-0.7845625443092011j,(-0.7845625443092011+0j)
(-0.5135379958326519+0j),0.5135379958326519j,-0.858066854526023j,(-0.858066854526023+0j)
(-0.5336480857787991+0j),0.5336480857787991j,-0.8457066397661921j,(-0.8457066397661921+0j)
(-0.20784203856873174+0j),0.20784203856873174j,-0.9781624031844579j,(-0.9781624031844579+0j)
